Species, Module #, Module name,,,,,,,,,,,,,,,,,,,,,,,
Antanartia delius,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Anteos maerula,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Anteros formosus,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Anthanassa texana,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Anthene larydas,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Anthocharis belia,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Anthocharis cardamines,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Anthoptus epictetus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Antigius attilia,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Antillea pelops,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Antipodia atralba,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Antipodia chaostola,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Antirrhea philaretes,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apallaga opalinus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apatura metis,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apaturina erminia,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apaturopsis cleochares,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aphantopus hyperantus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aphnaeus orcas,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aphysoneura pigmentaria,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apodemia ares,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apodemia chisosensis,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apodemia duryi,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Apodemia hepburni,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apodemia mormo,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apodemia murphyi,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apodemia palmerii,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apodemia zela,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Aporia agathon,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Aporia crataegi,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apostictopterus fuliginosus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Appias lasti,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Appias libythea,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Appias paulina,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Apyrrothrix aesculapus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Apyrrothrix araxes,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Araotes lapithis,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Araragi enthea,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Araschnia levana,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Arawacus aetolus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Arcas imperialis,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Archaeoprepona demophon,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Archaeoprepona meander,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Archon apollinus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Archonias brassolis,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Arethusana arethusa,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argon lota,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argynnina cyrila,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argynnis aglaja,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argynnis anadyomene,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argynnis hyperbius,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argynnis laodice,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argynnis nerippe,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argynnis paphia,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argynnis sagana,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argyraspodes argyraspis,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Argyrophorus argenteus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Arhopala bazalus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Arhopala muta,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
