Species, Module #, Module name,,,,,,,,,,,,,,,,,,,,,,,
Coeliades ramanatek,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Coelites nothis,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Coenonympha pamphilus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Coenyra hebe,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cogia calchas,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cogia hippalus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Colias croceus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Colias hyale,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Colobura dirce,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Colotis amata,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Colotis evagore,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Conga chydaea,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Consul fabius,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Copaeodes aurantiaca,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Corades medeba,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Coreana raphaelis,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Coreana stygiana,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Corticea corticea,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Creon cleobis,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Creonpyge creon,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Cressida cressida,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Croitana croites,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Croniades pieria,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Crudaria leroma,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Culapa tagala,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cunizza hirlanda,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cupha erymanthis,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cupidesthes vidua,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cupido comyntas,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cupido moorei,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cupidopsis cissus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cupidopsis jobates,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cupitha purreea,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Curetis bulis,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Curetis saronis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Curetis tagalica,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Curvie emesia,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cyaniris semiargus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cybdelis phaesyla,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cyclargus ammon,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cycloglypha thrasibulus,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cyclyrius webbianus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cyllopsis pyracmon,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cymothoe lurida,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cynandra opis,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cynea cynea,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cyrestis acilia,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Cyrestis nivea,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dachetola azora,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Daedalma dinias,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Daimio tethys,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Danaus chrysippus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Danaus eresimus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Danaus erippus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Danaus gilippus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Danaus melanippus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Danaus plexippus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Danis danis,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Dapidodigma demeter,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Darpa pteria,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dasyophthalma rusina,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Davidina armandi,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Decinea decinea,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Delias descombesi,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Delias henningia,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Delias pasithoe,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Deloneura ochrascens,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dercas verhuelli,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Detritivora gynaea,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Deudorix antalus,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Deudorix epijarbas,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Diaethria anna,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Diaethria clymena,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dianesia carteri,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dichorragia nesimachus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Dilipa morgiana,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dingana dingana,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dione juno,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Dira clytus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dircenna jemina,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Discolampa ethion,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Discophora celinde,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dismorphia theucharila,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dispar compacta,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dixeia charina,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dixeia doxo,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dodona deodata,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Doleschallia bisaltide,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Doleschallia polibete,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Doxocopa agathina,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Drephalys kidonoi,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Drupadia ravindra,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Dryadula phaetusa,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Dryas iulia,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Dubiella dubius,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dulcedo polita,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Durbania amakosa,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Durbaniella clarki,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Durbaniopsis saga,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dymasia dymas,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dynamine postverta,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dynastor darius,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Dyscophellus porcius,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eagris sabadius,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eantis mithridates,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Eantis pallida,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Eantis thraso,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Ebusus ebusus,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Echinargus isola,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ectomis asine,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ectomis octomaculata,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ectomis perniciosus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ectomis pervivax,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eetion elia,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Elina montrolii,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Elodina padusa,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Elymnias bammakoo,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Elymnias hypermnestra,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Elymnias nesaea,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Elzunia pavonii,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Emesis brimo,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Emesis cypria,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Emesis lacrines,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Emesis lucinda,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Emesis ocypore,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Emesis tegula,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Emesis tenedia,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Emmelus purpurascens,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Eogenes alcides,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eooxylides tharis,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Epargyreus clarus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Epargyreus spanna,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Ephyriades arcas,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ephyriades brunnea,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Epiphile orea,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Episcada salvinia,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Epitola urania,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Epityches eupompe,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eracon paulinus,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erebia epiphron,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erebia ligea,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eretris porphyria,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erikssonia acraeina,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erionota acroleucus,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erionota thrax,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ernsta colotes,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eroessa chiliensis,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Eronia cleodora,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erora quaderna,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erynnis brizo,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erynnis horatius,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erynnis tages,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Eryphanis automedon,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Erysichton lineata,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eteona tisiphone,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Etesiolaus catori,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euapatura mirza,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euaspa milionia,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eucheira socialis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euchloe ausonia,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euchloe ausonides,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euchrysops cnejus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eueides isabella,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Euliphyra hewitsoni,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eumaeus atala,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eumaeus minyas,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eumedonia eumedon,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eunica monima,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euphaedra neophron,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euphilotes enoptes,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euphydryas editha,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euphyes arpa,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euphyes dion,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euploea phaenareta,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euploea radamanthus,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euptoieta claudia,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Eurema mandarina,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eurema mexicana,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euriphellus euribates,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euriphene amicia,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euripus nyctelius,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euryades corethrus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eurybia lycisca,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eurytela dryope,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eurytides dioxippus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Eurytides dolicaon,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Eurytides philolaus,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euschemon rafflesia,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Euselasia chrysippe,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euthalia evelina,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Euthalia lubentina,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euthaliopsis aetion,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Eutresis hypereia,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Euxanthe eurinome,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Evena crithea,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Evenus regalis,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Exometoeca nycteris,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Exoplisia cadmeis,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Falga jeconia,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Faunis eumeus,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Feniseca tarquinius,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Flos apidanus,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Forsterinaria pronophila,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Fountainea nessus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Fresna netopha,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Fresna nyassae,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Freyeria trochylus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Gamia buchholzi,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gamia shelleyi,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gandaca harina,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gangara thyrsis,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ganyra josephina,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Ganyra phaloe,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gegenes pumilio,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Geitoneura klugii,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gerosis bhagava,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gesta gesta,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gideona lucasi,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Glabroculus cyane,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Glaucopsyche lygdamus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Glennia pylotis,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Glutophrissa drusilla,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gnophodes parmeno,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Godyris duillia,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gomalia elma,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gonepteryx rhamni,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gonerilia seraphim,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Grais stigmaticus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Graphium agamemnon,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Graphium evemon,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Graphium sarpedon,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Greta morgane,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gretna cylinda,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gunayan rubricollis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Gyrocheilus patrobas,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Habrodais grunus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hades noctula,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Haematera pyrame,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Haetera piera,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Halotus rica,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Halpe porus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hamadryas amphinome,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Hamanumida daedalus,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hamearis lucina,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Harma theobene,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hasora badra,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hasora chromus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Hayashikeia courvoisieri,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hebomoia glaucippe,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Helias phalaenoides,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius atthis,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius besckei,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius charithonia,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius cydno,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius eleuchia,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius elevatus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius erato,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius ethilla,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius hecale,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius hermathena,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius heurippa,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius hewitsoni,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius himera,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius hortense,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius ismenius,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius melpomene,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius numata,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius pardalinus,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius ricini,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius sapho,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius sara,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius timareta,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius wallacei,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliconius xanthocles,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Helicopis cupido,9, Myrtaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Heliopetes ericetorum,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliophorus epicles,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Heliopyrgus domicella,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hemiolaus caeculus,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Herimosa albovenata,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hermeuptychia hermes,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hermeuptychia sosybius,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Herona marathus,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hesperia comma,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hesperia meskei,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hesperilla ornata,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hesperocharis marchalii,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hesperopsis alpheus,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hestina assimilis,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hestina persimilis,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hestinalis nama,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Heteronympha merope,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Heteropterus morpheus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Heterosais nephele,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hewitsonia intermedia,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hewitsoniella migonitis,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hidari irava,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hipparchia senthes,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Historis odius,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Horaga onyx,2, Rutaceae+Insect ,,,,,,,,,,,,,,,,,,,,,,,
Howarthia caelestis,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hyarotis adrastus,3, Arecaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hylephila phyleus,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypanartia lethe,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypaurotis crysalus,7, Fabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypermnestra helios,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hyphilaria thasus,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypna clytemnestra,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypochrysops polycletus,11, Cannabaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypoleria lavinia,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypoleucis tripunctata,13, Malvaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypolimnas anthedon,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypolimnas bolina,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypolimnas misippus,1, Violaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypolycaena phorbas,12, Salicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypolycaena sipylus,4, Lamiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hyponephele lycaon,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypothyris euclea,6, Euphorbiaceae ,,,,,,,,,,,,,,,,,,,,,,,
Hypsochila wagenknechti,5, Brassicaceae ,,,,,,,,,,,,,,,,,,,,,,,
Iambrix salsala,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
Idea leuconoe,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Ideopsis gaura,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Ideopsis vitrea,10, Asteraceae ,,,,,,,,,,,,,,,,,,,,,,,
Inbio hilara,8, Poaceae ,,,,,,,,,,,,,,,,,,,,,,,
