Sp_Idmarch,scientific_name,Genus,Species,Flag,valid name,genomic
1,Aargyresthia alternatella,Aargyresthia,alternatella,Not Found,,
2,Abagrotis alternata,Abagrotis,alternata,Not Found,,
3,Abagrotis cupida,Abagrotis,cupida,Not Found,,
4,Abantis arctomarginata,Abantis,arctomarginata,Valid Name,Abantis arctomarginata,
5,Abantis bamptoni,Abantis,bamptoni,Valid Name,Abantis bamptoni,
6,Abantis bicolor,Abantis,bicolor,Valid Name,Abantis bicolor,
7,Abantis bismarcki,Abantis,bismarcki,Valid Name,Abantis bismarcki,
8,Abantis elegantula,Abantis,elegantula,Valid Name,Abantis elegantula,
9,Abantis ja,Abantis,ja,Valid Name,Abantis ja,
10,Abantis leucogaster,Abantis,leucogaster,Valid Name,Abantis leucogaster,
11,Abantis lucretia,Abantis,lucretia,Valid Name,Abantis lucretia,
12,Abantis meru,Abantis,meru,Valid Name,Abantis meru,
13,Abantis nigeriana,Abantis,nigeriana,Valid Name,Abantis nigeriana,
14,Abantis paradisea,Abantis,paradisea,Valid Name,Abantis paradisea,
15,Abantis pseudonigeriana,Abantis,pseudonigeriana,Valid Name,Abantis pseudonigeriana,
16,Abantis rubra,Abantis,rubra,Valid Name,Abantis rubra,
17,Abantis tettensis,Abantis,tettensis,Valid Name,Abantis tettensis,
18,Abantis venosa,Abantis,venosa,Valid Name,Abantis venosa,
19,Abantis zambesiaca,Abantis,zambesiaca,Valid Name,Abantis zambesiaca,
20,Abantis zanibesiaca,Abantis,zanibesiaca,Not Found,,
21,Abisara abnormis,Abisara,abnormis,Valid Name,Abisara abnormis,
22,Abisara bifasciata,Abisara,bifasciata,Valid Name,Abisara bifasciata,
23,Abisara burnii,Abisara,burnii,Valid Name,Abisara burnii,"COI_trnL_COII, EF-1a, Wgl"
24,Abisara echerius,Abisara,echerius,Valid Name,Abisara echerius,"COI_trnL_COII, EF-1a, Wgl"
25,Abisara freda,Abisara,freda,Valid Name,Abisara freda,"COI_trnL_COII, EF-1a, Wgl"
26,Abisara fylla,Abisara,fylla,Valid Name,Abisara fylla,"COI_trnL_COII, EF-1a, Wgl"
27,Abisara geza,Abisara,geza,Valid Name,Abisara geza,"CAD, COI_trnL_COII, EF-1a, Wgl"
28,Abisara kausambi,Abisara,kausambi,Valid Name,Abisara kausambi,"CAD, COI_trnL_COII, EF-1a, Wgl"
29,Abisara mindanaensis,Abisara,mindanaensis,Valid Name,Abisara mindanaensis,
30,Abisara neophron,Abisara,neophron,Not Found,,
31,Abisara neophtron,Abisara,neophtron,Not Found,,
32,Abisara saturata,Abisara,saturata,Valid Name,Abisara saturata,"CAD, COI_trnL_COII, EF-1a, Wgl"
33,Abisara savitri,Abisara,savitri,Synonym,Archigenes savitri,
34,Abraximorpha davidii,Abraximorpha,davidii,Valid Name,Abraximorpha davidii,COI_trnL_COII
35,Abraximorpha heringi,Abraximorpha,heringi,Valid Name,Abraximorpha heringi,
36,Abrostola ovalis,Abrostola,ovalis,Not Found,,
37,Abrostola urentis,Abrostola,urentis,Not Found,,
38,Abrota ganga,Abrota,ganga,Valid Name,Abrota ganga,"COI_trnL_COII, GAPDH, RpS5, Wgl"
39,Abroximorpha davidii,Abroximorpha,davidii,Not Found,,
40,Acada annulifer,Acada,annulifer,Valid Name,Acada annulifer,
41,Acada biseriata,Acada,biseriata,Valid Name,Acada biseriata,
42,Acada biseriatus,Acada,biseriatus,Not Found,,
43,Acasis viridata,Acasis,viridata,Not Found,,
44,Acerbas anthea,Acerbas,anthea,Valid Name,Acerbas anthea,
45,Acerbas duris,Acerbas,duris,Valid Name,Acerbas duris,
46,Acerbas martini,Acerbas,martini,Valid Name,Acerbas martini,
47,Acerbas selta,Acerbas,selta,Valid Name,Acerbas selta,
48,Achalarus albociliatus,Achalarus,albociliatus,Valid Name,Achalarus albociliatus,"ArgKin, CAD, COI_trnL_COII, EF-1a, GAPDH, IDH, MDH, RpS2, RpS5, Wgl"
49,Achalarus casica,Achalarus,casica,Valid Name,Achalarus casica,
50,Achalarus jalapus,Achalarus,jalapus,Not Found,,
51,Achalarus lyciades,Achalarus,lyciades,Valid Name,Achalarus lyciades,COI_trnL_COII
52,Achalarus toxeus,Achalarus,toxeus,Valid Name,Achalarus toxeus,COI_trnL_COII
53,Acharia stimulea,Acharia,stimulea,Not Found,,
54,Achatia distincta,Achatia,distincta,Not Found,,
55,Achatodes zeae,Achatodes,zeae,Not Found,,
56,Achillides arcturus,Achillides,arcturus,Not Found,,
57,Achillides bianor,Achillides,bianor,Not Found,,
58,Achillides chikae,Achillides,chikae,Not Found,,
59,Achillides dialis,Achillides,dialis,Not Found,,
60,Achillides fuscus,Achillides,fuscus,Not Found,,
61,Achillides karna,Achillides,karna,Not Found,,
62,Achillides macackii,Achillides,macackii,Not Found,,
63,Achillides palinurus,Achillides,palinurus,Not Found,,
64,Achillides paris,Achillides,paris,Not Found,,
65,Achillides synfanius,Achillides,synfanius,Not Found,,
66,Achlodes thraso,Achlodes,thraso,Not Found,,
67,Achlyodes busirus,Achlyodes,busirus,Valid Name,Achlyodes busirus,"ArgKin, CAD, COI_trnL_COII, EF-1a, GAPDH, IDH, MDH, RpS2, RpS5, Wgl"
68,Achlyodes minna,Achlyodes,minna,Synonym,Eantis minna,
69,Achlyodes mithridates,Achlyodes,mithridates,Not Found,,
70,Achlyodes munroei,Achlyodes,munroei,Synonym,Eantis munroei,
71,Achlyodes papinianus,Achlyodes,papinianus,Not Found,,
72,Achlyodes tamenund,Achlyodes,tamenund,Not Found,,
73,Achlyodes thraso,Achlyodes,thraso,Not Found,,
74,Achylodes mithridates,Achylodes,mithridates,Not Found,,
75,Achylodes munroei,Achylodes,munroei,Not Found,,
76,Achylodes papinianus,Achylodes,papinianus,Not Found,,
77,Achyra rantalis,Achyra,rantalis,Not Found,,
78,Acia monuste,Acia,monuste,Not Found,,
79,Acleris celiana,Acleris,celiana,Not Found,,
80,Acleris chalybeana,Acleris,chalybeana,Not Found,,
81,Acleris flavivittana,Acleris,flavivittana,Not Found,,
82,Acleris forskaleana,Acleris,forskaleana,Not Found,,
83,Acleris fragariana,Acleris,fragariana,Not Found,,
84,Acleris fuscana,Acleris,fuscana,Not Found,,
85,Acleris hastiana,Acleris,hastiana,Not Found,,
86,Acleris logiana,Acleris,logiana,Not Found,,
87,Acleris macdunnoughi,Acleris,macdunnoughi,Not Found,,
88,Acleris mana,Acleris,mana,Not Found,,
89,Acleris maximana,Acleris,maximana,Not Found,,
90,acleris negundana,acleris,negundana,Not Found,,
91,Acleris nigrolinea,Acleris,nigrolinea,Not Found,,
92,Acleris nivisellana,Acleris,nivisellana,Not Found,,
93,Acleris semiannula,Acleris,semiannula,Not Found,,
94,Acleris subnivana,Acleris,subnivana,Not Found,,
95,Acleris variana,Acleris,variana,Not Found,,
96,Acleris voungana,Acleris,voungana,Not Found,,
97,Acleros bala,Acleros,bala,Synonym,Acleros bobiri,
98,Acleros bibundica,Acleros,bibundica,Valid Name,Acleros bibundica,
99,Acleros mackenii,Acleros,mackenii,Valid Name,Acleros mackenii,
100,Acleros neavei,Acleros,neavei,Valid Name,Acleros neavei,
101,Acleros nigrapex,Acleros,nigrapex,Valid Name,Acleros nigrapex,
102,Acleros ploetzi,Acleros,ploetzi,Valid Name,Acleros ploetzi,
103,Acleros sparsum,Acleros,sparsum,Valid Name,Acleros sparsum,
104,Acolastus amyntas,Acolastus,amyntas,Not Found,,
105,Acossus centerensis,Acossus,centerensis,Not Found,,
106,Acraea abdera,Acraea,abdera,Valid Name,Acraea abdera,"COI_trnL_COII, EF-1a, Wgl"
107,Acraea acara,Acraea,acara,Valid Name,Acraea acara,
108,Acraea acrita,Acraea,acrita,Valid Name,Acraea acrita,
109,Acraea admatha,Acraea,admatha,Valid Name,Acraea admatha,
110,Acraea adrasta,Acraea,adrasta,Valid Name,Acraea adrasta,COI_trnL_COII
111,Acraea aganice,Acraea,aganice,Valid Name,Acraea aganice,COI_trnL_COII
112,Acraea aglaonice,Acraea,aglaonice,Valid Name,Acraea aglaonice,
113,Acraea alcinoe,Acraea,alcinoe,Valid Name,Acraea alcinoe,"COI_trnL_COII, EF-1a, Wgl"
114,Acraea amicitiae,Acraea,amicitiae,Valid Name,Acraea amicitiae,
115,Acraea andromacha,Acraea,andromacha,Valid Name,Acraea andromacha,"COI_trnL_COII, EF-1a, Wgl"
116,Acraea andromache,Acraea,andromache,Not Found,,
117,Acraea anemosa,Acraea,anemosa,Valid Name,Acraea anemosa,
118,Acraea annonae,Acraea,annonae,Valid Name,Acraea annonae,
119,Acraea asboloplintha,Acraea,asboloplintha,Valid Name,Acraea asboloplintha,
120,Acraea asema,Acraea,asema,Valid Name,Acraea asema,
121,Acraea atatis,Acraea,atatis,Valid Name,Acraea atatis,
122,Acraea atergatis,Acraea,atergatis,Valid Name,Acraea atergatis,
123,Acraea atolmis,Acraea,atolmis,Valid Name,Acraea atolmis,
124,Acraea axina,Acraea,axina,Valid Name,Acraea axina,
125,Acraea bailundensis,Acraea,bailundensis,Not Found,,
126,Acraea bana,Acraea,bana,Valid Name,Acraea bana,
127,Acraea barberi,Acraea,barberi,Valid Name,Acraea barberi,
128,Acraea bellona,Acraea,bellona,Valid Name,Acraea bellona,
129,Acraea bergeriana,Acraea,bergeriana,Not Found,,
130,Acraea bonasia,Acraea,bonasia,Valid Name,Acraea bonasia,"COI_trnL_COII, EF-1a, Wgl"
131,Acraea boopis,Acraea,boopis,Valid Name,Acraea boopis,
132,Acraea braesia,Acraea,braesia,Valid Name,Acraea braesia,
133,Acraea brainei,Acraea,brainei,Valid Name,Acraea brainei,
134,Acraea buettneri,Acraea,buettneri,Valid Name,Acraea buettneri,
135,Acraea burgessi,Acraea,burgessi,Valid Name,Acraea burgessi,
136,Acraea caecilia,Acraea,caecilia,Not Found,,
137,Acraea caldarena,Acraea,caldarena,Valid Name,Acraea caldarena,
138,Acraea camaena,Acraea,camaena,Valid Name,Acraea camaena,"COI_trnL_COII, EF-1a, Wgl"
139,Acraea cepheus,Acraea,cepheus,Valid Name,Acraea cepheus,
140,Acraea chaeribula,Acraea,chaeribula,Valid Name,Acraea chaeribula,
141,Acraea chambezi,Acraea,chambezi,Valid Name,Acraea chambezi,
142,Acraea chilo,Acraea,chilo,Valid Name,Acraea chilo,
143,Acraea consanguinea,Acraea,consanguinea,Valid Name,Acraea consanguinea,COI_trnL_COII
144,Acraea cuva,Acraea,cuva,Valid Name,Acraea cuva,
145,Acraea dammii,Acraea,dammii,Valid Name,Acraea dammii,
146,Acraea diogenes,Acraea,diogenes,Valid Name,Acraea diogenes,
147,Acraea dondoensis,Acraea,dondoensis,Not Found,,
148,Acraea doubledayi,Acraea,doubledayi,Valid Name,Acraea doubledayi,
149,Acraea ducarmei,Acraea,ducarmei,Valid Name,Acraea ducarmei,
150,Acraea egina,Acraea,egina,Valid Name,Acraea egina,"COI_trnL_COII, EF-1a, Wgl"
151,Acraea ella,Acraea,ella,Valid Name,Acraea ella,
152,Acraea elongata,Acraea,elongata,Valid Name,Acraea elongata,COI_trnL_COII
153,Acraea eltringhami,Acraea,eltringhami,Valid Name,Acraea eltringhami,
154,Acraea eltringhamiana,Acraea,eltringhamiana,Valid Name,Acraea eltringhamiana,
155,Acraea encedana,Acraea,encedana,Valid Name,Acraea encedana,"COI_trnL_COII, EF-1a, Wgl"
156,Acraea encedon,Acraea,encedon,Valid Name,Acraea encedon,"ArgKin, CAD, CAT, COI_trnL_COII, CoA, DDC, EF-1a, GAPDH, HCL, IDH, MDH, RpS2, RpS5, Wgl"
157,Acraea endoscota,Acraea,endoscota,Valid Name,Acraea endoscota,"COI_trnL_COII, EF-1a, Wgl"
158,Acraea epaea,Acraea,epaea,Valid Name,Acraea epaea,"COI_trnL_COII, EF-1a, Wgl"
159,Acraea epiprotea,Acraea,epiprotea,Valid Name,Acraea epiprotea,COI_trnL_COII
160,Acraea epitellus,Acraea,epitellus,Valid Name,Acraea epitellus,
161,Acraea eponina,Acraea,eponina,Not Found,,
162,Acraea equatorialis,Acraea,equatorialis,Valid Name,Acraea equatorialis,
163,Acraea eugenia,Acraea,eugenia,Valid Name,Acraea eugenia,
164,Acraea excisa,Acraea,excisa,Valid Name,Acraea excisa,COI_trnL_COII
165,Acraea formosa,Acraea,formosa,Valid Name,Acraea formosa,COI_trnL_COII
166,Acraea grosvenori,Acraea,grosvenori,Valid Name,Acraea grosvenori,
167,Acraea guillemei,Acraea,guillemei,Valid Name,Acraea guillemei,
168,Acraea guluensis,Acraea,guluensis,Valid Name,Acraea guluensis,
169,Acraea hamata,Acraea,hamata,Valid Name,Acraea hamata,
170,Acraea hecqui,Acraea,hecqui,Valid Name,Acraea hecqui,
171,Acraea horta,Acraea,horta,Valid Name,Acraea horta,
172,Acraea hova,Acraea,hova,Valid Name,Acraea hova,
173,Acraea hypoleuca,Acraea,hypoleuca,Valid Name,Acraea hypoleuca,
174,Acraea igati,Acraea,igati,Valid Name,Acraea igati,
175,Acraea indentata,Acraea,indentata,Valid Name,Acraea indentata,
176,Acraea insignis,Acraea,insignis,Valid Name,Acraea insignis,
177,Acraea intermediodes,Acraea,intermediodes,Synonym,Acraea latiapicalis,
178,Acraea issoria,Acraea,issoria,Valid Name,Acraea issoria,"COI_trnL_COII, EF-1a, Wgl"
179,Acraea kappa,Acraea,kappa,Valid Name,Acraea kappa,
180,Acraea kia,Acraea,kia,Valid Name,Acraea kia,
181,Acraea kinduana,Acraea,kinduana,Valid Name,Acraea kinduana,
182,Acraea kivuensis,Acraea,kivuensis,Valid Name,Acraea kivuensis,COI_trnL_COII
183,Acraea lapidorum,Acraea,lapidorum,Valid Name,Acraea lapidorum,
184,Acraea leopoldina,Acraea,leopoldina,Valid Name,Acraea leopoldina,COI_trnL_COII
185,Acraea lequeuxi,Acraea,lequeuxi,Valid Name,Acraea lequeuxi,
186,Acraea leucographa,Acraea,leucographa,Valid Name,Acraea leucographa,
187,Acraea leucopyga,Acraea,leucopyga,Valid Name,Acraea leucopyga,
188,Acraea lofua,Acraea,lofua,Valid Name,Acraea lofua,
189,Acraea loranae,Acraea,loranae,Valid Name,Acraea loranae,
190,Acraea lualabae,Acraea,lualabae,Valid Name,Acraea lualabae,
191,Acraea lyci,Acraea,lyci,Valid Name,Acraea lyci,
192,Acraea lygus,Acraea,lygus,Valid Name,Acraea lygus,
193,Acraea macaria,Acraea,macaria,Valid Name,Acraea macaria,"COI_trnL_COII, EF-1a, Wgl"
194,Acraea macarista,Acraea,macarista,Valid Name,Acraea macarista,COI_trnL_COII
195,Acraea machequena,Acraea,machequena,Valid Name,Acraea machequena,
196,Acraea magnifica,Acraea,magnifica,Synonym,Acraea chilo,
197,Acraea mahela,Acraea,mahela,Valid Name,Acraea mahela,
198,Acraea manca,Acraea,manca,Valid Name,Acraea manca,
199,Acraea mansya,Acraea,mansya,Valid Name,Acraea mansya,
200,Acraea marnois,Acraea,marnois,Synonym,Acraea hypatia,
201,Acraea matuapa,Acraea,matuapa,Valid Name,Acraea matuapa,
202,Acraea medea,Acraea,medea,Not Found,,
203,Acraea meyeri,Acraea,meyeri,Synonym,Acraea burni,
204,Acraea mirabilis,Acraea,mirabilis,Valid Name,Acraea mirabilis,
205,Acraea miranda,Acraea,miranda,Valid Name,Acraea miranda,
206,Acraea moluccana,Acraea,moluccana,Valid Name,Acraea moluccana,
207,Acraea natalica,Acraea,natalica,Valid Name,Acraea natalica,
208,Acraea necoda,Acraea,necoda,Valid Name,Acraea necoda,
209,Acraea neobule,Acraea,neobule,Valid Name,Acraea neobule,
210,Acraea niobe,Acraea,niobe,Valid Name,Acraea niobe,
211,Acraea nohara,Acraea,nohara,Valid Name,Acraea nohara,
212,Acraea obliqua,Acraea,obliqua,Valid Name,Acraea obliqua,COI_trnL_COII
213,Acraea omrora,Acraea,omrora,Valid Name,Acraea omrora,
214,Acraea oncaea,Acraea,oncaea,Valid Name,Acraea oncaea,
215,Acraea onerata,Acraea,onerata,Valid Name,Acraea onerata,
216,Acraea oscari,Acraea,oscari,Valid Name,Acraea oscari,
217,Acraea overlaeti,Acraea,overlaeti,Valid Name,Acraea overlaeti,
218,Acraea parageum,Acraea,parageum,Not Found,,
219,Acraea peetersi,Acraea,peetersi,Valid Name,Acraea peetersi,
220,Acraea periphanes,Acraea,periphanes,Valid Name,Acraea periphanes,
221,Acraea persanguinea,Acraea,persanguinea,Valid Name,Acraea persanguinea,COI_trnL_COII
222,Acraea petraea,Acraea,petraea,Valid Name,Acraea petraea,
223,Acraea pierre,Acraea,pierre,Not Found,,
224,Acraea poggei,Acraea,poggei,Valid Name,Acraea poggei,COI_trnL_COII
225,Acraea pseudatolmis,Acraea,pseudatolmis,Valid Name,Acraea pseudatolmis,
226,Acraea pseudegina,Acraea,pseudegina,Valid Name,Acraea pseudegina,"CAD, COI_trnL_COII, EF-1a, RpS2, RpS5, Wgl"
227,Acraea pseuderyta,Acraea,pseuderyta,Not Found,,
228,Acraea pseudolycia,Acraea,pseudolycia,Valid Name,Acraea pseudolycia,
229,Acraea pudorella,Acraea,pudorella,Valid Name,Acraea pudorella,
230,Acraea pudorina,Acraea,pudorina,Valid Name,Acraea pudorina,
231,Acraea punctellata,Acraea,punctellata,Valid Name,Acraea punctellata,
232,Acraea punctimarginea,Acraea,punctimarginea,Valid Name,Acraea punctimarginea,
233,Acraea quadricolor,Acraea,quadricolor,Valid Name,Acraea quadricolor,COI_trnL_COII
234,Acraea quirina,Acraea,quirina,Not Found,,
235,Acraea rabbaiae,Acraea,rabbaiae,Valid Name,Acraea rabbaiae,
236,Acraea ranavalona,Acraea,ranavalona,Valid Name,Acraea ranavalona,
237,Acraea regalis,Acraea,regalis,Valid Name,Acraea regalis,
238,Acraea rhodesiana,Acraea,rhodesiana,Valid Name,Acraea rhodesiana,
239,Acraea rogersi,Acraea,rogersi,Valid Name,Acraea rogersi,COI_trnL_COII
240,Acraea rohlfsi,Acraea,rohlfsi,Valid Name,Acraea rohlfsi,
241,Acraea satis,Acraea,satis,Valid Name,Acraea satis,
242,Acraea scalivittata,Acraea,scalivittata,Valid Name,Acraea scalivittata,COI_trnL_COII
243,Acraea schubotzi,Acraea,schubotzi,Valid Name,Acraea schubotzi,
244,Acraea serena,Acraea,serena,Valid Name,Acraea serena,"COI_trnL_COII, EF-1a, Wgl"
245,Acraea severina,Acraea,severina,Valid Name,Acraea severina,
246,Acraea stenobea,Acraea,stenobea,Valid Name,Acraea stenobea,
247,Acraea sykesi,Acraea,sykesi,Valid Name,Acraea sykesi,
248,Acraea telchinia,Acraea,telchinia,Not Found,,
249,Acraea tellus,Acraea,tellus,Valid Name,Acraea tellus,COI_trnL_COII
250,Acraea terpsicore,Acraea,terpsicore,Valid Name,Acraea terpsicore,
251,Acraea trimeni,Acraea,trimeni,Synonym,Acraea barberi,
252,Acraea turlini,Acraea,turlini,Valid Name,Acraea turlini,
253,Acraea turna,Acraea,turna,Valid Name,Acraea turna,
254,Acraea umbra,Acraea,umbra,Valid Name,Acraea umbra,"COI_trnL_COII, EF-1a, Wgl"
255,Acraea utengulensis,Acraea,utengulensis,Valid Name,Acraea utengulensis,
256,Acraea vestalis,Acraea,vestalis,Valid Name,Acraea vestalis,"COI_trnL_COII, EF-1a, Wgl"
257,Acraea violae,Acraea,violae,Not Found,,
258,Acraea violarum,Acraea,violarum,Valid Name,Acraea violarum,COI_trnL_COII
259,Acraea zetes,Acraea,zetes,Valid Name,Acraea zetes,"COI_trnL_COII, EF-1a, Wgl"
260,Acraea zonata,Acraea,zonata,Valid Name,Acraea zonata,
261,Acraea zoumi,Acraea,zoumi,Valid Name,Acraea zoumi,
262,Acriopodes fallax,Acriopodes,fallax,Not Found,,
263,Acrobasis angusella,Acrobasis,angusella,Not Found,,
264,Acrobasis aurorella,Acrobasis,aurorella,Not Found,,
265,Acrobasis caryae,Acrobasis,caryae,Not Found,,
266,Acrobasis demotella,Acrobasis,demotella,Not Found,,
267,Acrobasis indigenella,Acrobasis,indigenella,Not Found,,
268,Acrobasis juglandis,Acrobasis,juglandis,Not Found,,
269,Acrobasis palholella,Acrobasis,palholella,Not Found,,
270,Acrobasis tricolorella,Acrobasis,tricolorella,Not Found,,
271,Acrobasis vaeeinn,Acrobasis,vaeeinn,Not Found,,
272,Acrodipsas arcana,Acrodipsas,arcana,Valid Name,Acrodipsas arcana,COI_trnL_COII
273,Acrodipsas aurata,Acrodipsas,aurata,Valid Name,Acrodipsas aurata,COI_trnL_COII
274,Acrodipsas brisbanensis,Acrodipsas,brisbanensis,Valid Name,Acrodipsas brisbanensis,COI_trnL_COII
275,Acrodipsas cuprea,Acrodipsas,cuprea,Valid Name,Acrodipsas cuprea,COI_trnL_COII
276,Acrodipsas hirtipes,Acrodipsas,hirtipes,Valid Name,Acrodipsas hirtipes,COI_trnL_COII
277,Acrodipsas illidgei,Acrodipsas,illidgei,Valid Name,Acrodipsas illidgei,COI_trnL_COII
278,Acrodipsas melania,Acrodipsas,melania,Valid Name,Acrodipsas melania,COI_trnL_COII
279,Acrodipsas mortoni,Acrodipsas,mortoni,Valid Name,Acrodipsas mortoni,COI_trnL_COII
280,Acrodipsas myrmecophila,Acrodipsas,myrmecophila,Valid Name,Acrodipsas myrmecophila,COI_trnL_COII
281,Acrolepiopsis incertella,Acrolepiopsis,incertella,Not Found,,
282,Acrolophus morus,Acrolophus,morus,Not Found,,
283,Acronicta afflicta,Acronicta,afflicta,Not Found,,
284,Acronicta americana,Acronicta,americana,Not Found,,
285,Acronicta betulae,Acronicta,betulae,Not Found,,
286,Acronicta connecta,Acronicta,connecta,Not Found,,
287,Acronicta dactylina,Acronicta,dactylina,Not Found,,
288,Acronicta fragilis,Acronicta,fragilis,Not Found,,
289,Acronicta funeralis,Acronicta,funeralis,Not Found,,
290,Acronicta grisea,Acronicta,grisea,Not Found,,
291,Acronicta haesitata,Acronicta,haesitata,Not Found,,
292,Acronicta hasta,Acronicta,hasta,Not Found,,
293,Acronicta impleta,Acronicta,impleta,Not Found,,
294,Acronicta impressa,Acronicta,impressa,Not Found,,
295,Acronicta increta,Acronicta,increta,Not Found,,
296,Acronicta innotata,Acronicta,innotata,Not Found,,
297,Acronicta interrupta,Acronicta,interrupta,Not Found,,
298,Acronicta laetifica,Acronicta,laetifica,Not Found,,
299,Acronicta lanceolaria,Acronicta,lanceolaria,Not Found,,
300,Acronicta lepusculina,Acronicta,lepusculina,Not Found,,
301,Acronicta lithospila,Acronicta,lithospila,Not Found,,
302,Acronicta lobeliae,Acronicta,lobeliae,Not Found,,
303,Acronicta longa,Acronicta,longa,Not Found,,
304,Acronicta modica,Acronicta,modica,Not Found,,
305,Acronicta morula,Acronicta,morula,Not Found,,
306,Acronicta noctivaga,Acronicta,noctivaga,Not Found,,
307,Acronicta oblinita,Acronicta,oblinita,Not Found,,
308,Acronicta ovata,Acronicta,ovata,Not Found,,
309,Acronicta radcliffei,Acronicta,radcliffei,Not Found,,
310,Acronicta retardata,Acronicta,retardata,Not Found,,
311,Acronicta rubricoma,Acronicta,rubricoma,Not Found,,
312,Acronicta spinigera,Acronicta,spinigera,Not Found,,
313,Acronicta superans,Acronicta,superans,Not Found,,
314,Acronicta tritona,Acronicta,tritona,Not Found,,
315,Acronicta vinnula,Acronicta,vinnula,Not Found,,
316,Acrophtalmia artemis,Acrophtalmia,artemis,Valid Name,Acrophtalmia artemis,
317,Acrophtalmia leuce,Acrophtalmia,leuce,Valid Name,Acrophtalmia leuce,"COI_trnL_COII, EF-1a, GAPDH, RpS5, Wgl"
318,Acrophthalmia albofasciata,Acrophthalmia,albofasciata,Not Found,,
319,Acrophthalmia artemis,Acrophthalmia,artemis,Not Found,,
320,Acrophthalmia leto,Acrophthalmia,leto,Synonym,Acrophtalmia leto,
321,Acrophthalmia luzonica,Acrophthalmia,luzonica,Not Found,,
322,Acrophthalmia yamashitai,Acrophthalmia,yamashitai,Not Found,,
323,Acropolis thalia,Acropolis,thalia,Valid Name,Acropolis thalia,
324,Actebia fennica,Actebia,fennica,Not Found,,
325,Actias luna,Actias,luna,Not Found,,
326,Actinote alalia,Actinote,alalia,Valid Name,Actinote alalia,"COI_trnL_COII, EF-1a, Wgl"
327,Actinote anteas,Actinote,anteas,Valid Name,Actinote anteas,"COI_trnL_COII, Wgl"
328,Actinote bonita,Actinote,bonita,Valid Name,Actinote bonita,"COI_trnL_COII, Wgl"
329,Actinote brylla,Actinote,brylla,Valid Name,Actinote brylla,"COI_trnL_COII, EF-1a, Wgl"
330,Actinote canutia,Actinote,canutia,Valid Name,Actinote canutia,"COI_trnL_COII, EF-1a, Wgl"
331,Actinote carycina,Actinote,carycina,Valid Name,Actinote carycina,"COI_trnL_COII, EF-1a, Wgl"
332,Actinote catarina,Actinote,catarina,Valid Name,Actinote catarina,
333,Actinote conspicua,Actinote,conspicua,Valid Name,Actinote conspicua,"COI_trnL_COII, EF-1a, Wgl"
334,Actinote dalmeidai,Actinote,dalmeidai,Valid Name,Actinote dalmeidai,"COI_trnL_COII, EF-1a, Wgl"
335,Actinote discrepans,Actinote,discrepans,Valid Name,Actinote discrepans,"COI_trnL_COII, EF-1a, Wgl"
336,Actinote eberti,Actinote,eberti,Valid Name,Actinote eberti,
337,Actinote furtadoi,Actinote,furtadoi,Valid Name,Actinote furtadoi,
338,Actinote genitrix,Actinote,genitrix,Valid Name,Actinote genitrix,"COI_trnL_COII, EF-1a, Wgl"
339,Actinote latior,Actinote,latior,Valid Name,Actinote latior,
340,Actinote mamita,Actinote,mamita,Valid Name,Actinote mamita,"COI_trnL_COII, EF-1a, Wgl"
341,Actinote melampeplos,Actinote,melampeplos,Valid Name,Actinote melampeplos,
342,Actinote melanisans,Actinote,melanisans,Valid Name,Actinote melanisans,"COI_trnL_COII, EF-1a, Wgl"
343,Actinote morio,Actinote,morio,Valid Name,Actinote morio,"COI_trnL_COII, EF-1a, Wgl"
344,Actinote pallescens,Actinote,pallescens,Synonym,Actinote parapheles,
345,Actinote parapheles,Actinote,parapheles,Valid Name,Actinote parapheles,"COI_trnL_COII, EF-1a, Wgl"
346,Actinote pellenea,Actinote,pellenea,Valid Name,Actinote pellenea,"COI_trnL_COII, EF-1a, Wgl"
347,Actinote pratensis,Actinote,pratensis,Valid Name,Actinote pratensis,"COI_trnL_COII, EF-1a, Wgl"
348,Actinote quadra,Actinote,quadra,Valid Name,Actinote quadra,"COI_trnL_COII, EF-1a, Wgl"
349,Actinote rhodope,Actinote,rhodope,Valid Name,Actinote rhodope,"COI_trnL_COII, EF-1a, Wgl"
350,Actinote surima,Actinote,surima,Valid Name,Actinote surima,"CAD, COI_trnL_COII, EF-1a, IDH, MDH, RpS2, RpS5, Wgl"
351,Actinote thalia,Actinote,thalia,Valid Name,Actinote thalia,"COI_trnL_COII, EF-1a, Wgl"
352,Actinote zikani,Actinote,zikani,Valid Name,Actinote zikani,"COI_trnL_COII, EF-1a"
353,Actizera atrigemmata,Actizera,atrigemmata,Valid Name,Actizera atrigemmata,
354,Actizera drucei,Actizera,drucei,Valid Name,Actizera drucei,
355,Actizera lucida,Actizera,lucida,Valid Name,Actizera lucida,"COI_trnL_COII, EF-1a, Wgl"
356,Actizera stellata,Actizera,stellata,Valid Name,Actizera stellata,"COI_trnL_COII, EF-1a"
357,Acupicta bubases,Acupicta,bubases,Valid Name,Acupicta bubases,
358,Acupicta flemingi,Acupicta,flemingi,Valid Name,Acupicta flemingi,
359,Acupicta inopinatum,Acupicta,inopinatum,Valid Name,Acupicta inopinatum,
360,Acupicta meeki,Acupicta,meeki,Valid Name,Acupicta meeki,
361,Acytolepis lilacea,Acytolepis,lilacea,Valid Name,Acytolepis lilacea,
