Unique.ID,,Book,Page.Number,Taxon,Family,Subfamily.or.Tribe,Genus,Genus.2,Species.Epithet,Subspecies,Authority,Common.name,Wing.Size,Wingspan..F.,Wingspan..M.,Wingspan..U.,Forewing.Length..F.,Forewing.Length..M.,Forewing.Length..U.,Distribution.Range,Elevation,Abundance,Flight.characteristics,Habitat,Oviposition,Hostplant.larval.food,Adult.food,Phenology.and.voltinism,Daily.or.circadian.patterns,Diapause,Mimicry,Defense.strategies,Adult.forms,Ant.associations,Mobility,Trait.Availability.and.Format.Comments,Flag.for.QA,QA.Comments,Author,Lab,Created,Updated,Additional.Data,Full.Species.Account,sp_ID
25207,,The Butterflies of Southern Africa,208,Species or Subspecies,,,Acleros,,mackenii,,"(Trimen, 1868)","Marsh Skipper, Macken's Skipper",Wingspan,,,"Forewing 0.5-0.55""",,,"Forewing 0.5-0.55""","Eastern Cape, Natal, Transvaal, Mashonaland, Mocambique; to equatorial Africa",,,,Swampy spots in forest or thick bush or on undergrowth near forest streams,,,,,,,,,"With, sometimes, or without a few white spots on middle of forewing, which are duller or fainter in male than in female. There are numerous varieties.",,,NA,No,,Ghost.Extractor,Guralnick Lab,11/29/2018 - 12:55,11/29/2018 - 12:55,,,B_2203
25902,,Pennington's Butterflies of Southern Africa (1978),258,Species or Subspecies,,,Acleros,,mackenii,,(Trimen),,Wingspan,,,,,,,Eggs and larvae were recorded from Durban.,,,,,The egg is laid singly on the underside of a leaf.,"The egg shell is not eaten after the larva emerges, but the larva bites away much of the upper surface of the egg before it emerges. The larvae feed on the edges of leaves.",,Eggs hatch after 9 to 11 days. In the 1st instar the larva grows from 2 to 4 mm in 8 days. In the 2nd instar the larva grows from 4 to 7 mm in 8 days. In the 3rd instar the larva grows from 7 to 11.5 mm in 8 days. In the 4th instar the larva grows from 11.5 to 18 mm in 13 days. Instars may be of shorter or longer duration than is recorded above. Emergence of the adult from the pupa after 21 or 22 days. The species is multi-brooded. This insect appears throughout the year.,,,,"Larvae construct a cache by joining a leaf or leaves together but young larvae partly bite away and turn down a portion of a leaf, attaching it to the under-side of the same leaf (as observed in the field, in the case of the 1st and 2nd instar larvae). They crawl out at intervals to feed on the edge of a leaf. Moulting and pupation take place within a cache. The pupa resembles a crumpled leaf, and is difficult to detect.",,,,NA,No,,Ghost.Extractor,Guralnick Lab,11/29/2018 - 12:56,11/29/2018 - 12:56,,,B_2203
40615,,Butterflies of Borneo Vol. 2 No. 1. Lycaenidae,15,Species or Subspecies,,,Allotinus,Paragerydus,unicolor,unicolor,"C. & R. Felder, [1865]",,Forewing Length,,,,12-16mm,12-16mm,,"Distribution: Borneo, Karimata, S.Myanmar, S.Thailand, Langkawi, Malay Pen., Tioman, Singapore (TL), Lingga, Natuna. Moyog, Mamut.",,,,,,,,,,,,,,,,NA,No,,david.lohman,Lohman Lab,02/08/2019 - 23:13,02/08/2019 - 23:13,,"L54. Allotinus (Paragerydus) unicolor unicolor C. & R. Felder, [1865] FWL: ♂♀ 12-16mm. Distribution: Borneo, Karimata, S.Myanmar, S.Thailand, Langkawi, Malay Pen., Tioman, Singapore (TL), Lingga, Natuna. Synonyms:  moorei H.H.Druce, 1895. TL-Kinabalu. rebilus Fruhstorfer, 1913. TL-N.Borneo. eurytanus Fruhstorfer, 1913. TL-Sintang, Borneo.  dilutus Corbet, 1939. TL-Malay Pen. Other Subspecies: Assam, N.Myanmar, N.Thailand, Cambodia, Laos, Vietnam, Sumatra, Bangka, Batu, Mentawai, Enggano, Java, Bali, Lesser Sunda, Bohol, Mindoro, Sulu, Sulawesi, Sula. Figs: ♂ Moyog, ♀ Mamut.",B_4596
40616,,Butterflies of Borneo Vol. 2 No. 1. Lycaenidae,15,Species or Subspecies,,,Allotinus,Paragerydus,unicolor,,"C. & R. Felder, [1865]",,Wingspan,,,,,,,"Distribution: Allotinus (Paragerydus) unicolor unicolor: Borneo, Karimata, S.Myanmar, S.Thailand, Langkawi, Malay Pen., Tioman, Singapore (TL), Lingga, Natuna. Other Subspecies: Assam, N.Myanmar, N.Thailand, Cambodia, Laos, Vietnam, Sumatra, Bangka, Batu, Mentawai, Enggano, Java, Bali, Lesser Sunda, Bohol, Mindoro, Sulu, Sulawesi, Sula.",,,,,,,,,,,,,,,,NA,No,,david.lohman,Lohman Lab,02/08/2019 - 23:13,08/18/2019 - 21:44,,"L54. Allotinus (Paragerydus) unicolor unicolor C. & R. Felder, [1865] FWL: ♂♀ 12-16mm. Distribution: Borneo, Karimata, S.Myanmar, S.Thailand, Langkawi, Malay Pen., Tioman, Singapore (TL), Lingga, Natuna. Synonyms:  moorei H.H.Druce, 1895. TL-Kinabalu. rebilus Fruhstorfer, 1913. TL-N.Borneo. eurytanus Fruhstorfer, 1913. TL-Sintang, Borneo.  dilutus Corbet, 1939. TL-Malay Pen. Other Subspecies: Assam, N.Myanmar, N.Thailand, Cambodia, Laos, Vietnam, Sumatra, Bangka, Batu, Mentawai, Enggano, Java, Bali, Lesser Sunda, Bohol, Mindoro, Sulu, Sulawesi, Sula. Figs: ♂ Moyog, ♀ Mamut.",B_4596
41671,,Butterflies of Borneo Vol. 2 No. 1. Lycaenidae,70,Species or Subspecies,,,Amblypodia,,narada,salvia,"Fruhstorfer, 1907",,Forewing Length,,,,28mm,25-27mm,,"Distribution: Borneo (TL-N.Borneo), Belitung, Bangka. Keningau.",,,,,,,,,,,,,,,,NA,No,,david.lohman,Lohman Lab,02/21/2019 - 00:55,02/21/2019 - 00:55,,"L257. Amblypodia narada salvia Fruhstorfer, 1907 FWL: ♂ 25-27mm, ♀ 28mm. Distribution: Borneo(TL-N.Borneo), Belitung, Bangka. Other Subspecies: Myanmar-Malay Pen., Langkawi, Sumatra, Weh, Nias, Ment- awi, Java, Bali, Sulawesi, Peleng, Batjan, Palawan, Philippines.  Figs: ♂♀ Keningau. ",B_6937
41672,,Butterflies of Borneo Vol. 2 No. 1. Lycaenidae,70,Species or Subspecies,,,Amblypodia,,narada,,,,Wingspan,,,,,,,"Distribution: Amblypodia narada salvia: Borneo (TL-N.Borneo), Belitung, Bangka. Other Subspecies: Myanmar-Malay Pen., Langkawi, Sumatra, Weh, Nias, Ment- awi, Java, Bali, Sulawesi, Peleng, Batjan, Palawan, Philippines. ",,,,,,,,,,,,,,,,NA,No,,david.lohman,Lohman Lab,02/21/2019 - 00:56,08/18/2019 - 20:01,,"L257. Amblypodia narada salvia Fruhstorfer, 1907 FWL: ♂ 25-27mm, ♀ 28mm. Distribution: Borneo(TL-N.Borneo), Belitung, Bangka. Other Subspecies: Myanmar-Malay Pen., Langkawi, Sumatra, Weh, Nias, Ment- awi, Java, Bali, Sulawesi, Peleng, Batjan, Palawan, Philippines.  Figs: ♂♀ Keningau.",B_6937
61461,,Borboletas do Brasil: Butterflies of Brazil Vol. 2: Nymphalidae,1669,Species or Subspecies,,,Anaeomorpha,,splendida,,"Rothschild, 1894",,Wingspan,,,84 mm,,,,"Brasil; Colombia (Putumayo); Ecuador (Napo); Peru (Loreto, Iquitos, Ucayali)",,,,,,,,,,,,,,,,NA,No,,minji.ku,Guralnick Lab,10/30/2019 - 12:10,10/30/2019 - 12:10,,"Anaeomorpha splendida Rothschild, 1894 84 mm Brasil; Colombia (Putumayo); Ecuador (Napo); Peru (Loreto, Iquitos, Ucayali)",B_10436
19947,,A Field Guide to Eastern Butterflies (Peterson Field Guide Series),90,Species or Subspecies,,,Anartia,,fatima,,,Banded Peacock,Wingspan,,,,,,,"[image] male Hidalgo Co., Texas Rare Stray.",,Rare Stray.,,,,,,,,,,,,,,NA,No,,andra.doherty,Ries Lab,10/11/2018 - 14:24,10/11/2018 - 14:24,,,B_13088
20538,,A Field Guide to Eastern Butterflies (Peterson Field Guide Series),276,Species or Subspecies,,,Anartia,,fatima,,,Banded Peacock,Wingspan,,,60-66 mm,,,,Resident from Mexico through Cen. America to e. Panama.Vagrant and occasional colonist to s. and cen. Texas.,,Vagrant and occasional colonist to s. and cen. Texas.,,"Open weedy areas, fields, orchards, second growth.",,"Ruellia in s. Texas, other acanthus family plants further south.",,All year in s. Texas.,,,,,,,,NA,No,,andra.doherty,Ries Lab,10/11/2018 - 14:25,10/11/2018 - 14:25,,,B_13088
34696,,A Field Guide to Western Butterflies (Peterson Field Guides),92,Species or Subspecies,,,Anartia,,fatima,,,BANDED PEACOCK,Wingspan,,,2 3/8-2 9/16 in. (60-66 mm),,,,,,,,,,,,,,,,,,,,NA,No,,andra.doherty,Ries Lab,01/24/2019 - 15:25,01/24/2019 - 15:25,,,B_13088
34697,,A Field Guide to Western Butterflies (Peterson Field Guides),330,Species or Subspecies,,,Anartia,,fatima,,,BANDED PEACOCK,Wingspan,,,2 3/8-2 9/16 in. (60-66 mm),,,,Mex. and Cen. Amer. Strays to and occasionally reproduces in Tex.,,Strays to and occasionally reproduces in Tex.,,"Open weedy areas, orchards, fields, beaches.",,Low plants in Acanthus family; such as Blechum and Ruellia.,,All year in tropics where native (several (flights).,,,,,,,,NA,No,,andra.doherty,Ries Lab,01/24/2019 - 15:25,01/24/2019 - 15:25,,,B_13088
19304,,Butterflies of Borneo Vol. 2 No. 2 Hesperiidae and addenda to Vol.1,29,Species or Subspecies,,,Ancistroides,,gemmifer,dombya,"(Fruhstorfer, 1911)",,Wingspan,,,FWL: 15-17 mm,,,FWL: 15-17 mm,"in Borneo: Kinabalu, Sabah, Brunei, Sarawak, Kalimantan. TL: Borneo. [Images](male) Mamut (alt. 800m), Kinabalu; (female) Poring, Kinabalu.",,,,,,,,,,,,,,,,NA,No,,andra.doherty,Ries Lab,10/11/2018 - 14:23,10/11/2018 - 14:23,,,B_2239
19300,,Butterflies of Borneo Vol. 2 No. 2 Hesperiidae and addenda to Vol.1,28,Species or Subspecies,,,Ancistroides,,gemmifer,,,,Wingspan,,,,,,,,,,,come flying in the forest from the lowlands to the medium lands,,,,,,,,,,,,NA,No,,andra.doherty,Ries Lab,10/11/2018 - 14:23,10/11/2018 - 14:23,,,B_2239
19305,,Butterflies of Borneo Vol. 2 No. 2 Hesperiidae and addenda to Vol.1,29,Species or Subspecies,,,Ancistroides,,gemmifer,,,,Wingspan,,,,,,,"subspecies other than A. g. dombya: S.Myanma, S.Thai, Malay Pen., Sumatra, Batoe, Natuna; Sipora, Siberut.",,,,,,,,,,,,,,,,NA,No,,andra.doherty,Ries Lab,10/11/2018 - 14:23,10/11/2018 - 14:23,,,B_2239
41082,,Butterflies of Borneo Vol. 2 No. 1. Lycaenidae,46,Species or Subspecies,,,Anthene,,emolus,goberus,"(Fruhstorfer, 1916)",,Forewing Length,,,,12-16mm,12-16mm,,"Distribution: S. Thai, Malay Pen., Singapore, Tioman, Sumatra-Borneo(TL).  Tenom, Krokong",,,,,,"Larval food Plants: Nephelium litchi, Cassia fistura, Heynea trijuga (Malay Pen.)",,,,,,,,,,NA,No,,david.lohman,Lohman Lab,02/13/2019 - 09:52,02/13/2019 - 09:52,,"L151. Anthene emolus goberus (Fruhstorfer, 1916) FWL: ♂♀ 12-16mm. Distribution: S. Thai, Malay Pen., Singapore, Tioman, Sumatra-Borneo(TL). Other Subspecies: S. India, Bengal, Sikkim, Assam, Bhutan, Myanmar, Thailand, Vietnam, Laos, Andamans, Hainan, Babi, Java, Kangean, Bali, Sumbawa, Palawan, Philippines. Larval food Plants: Nephelium litchi, Cassia fistura, Heynea trijuga (Malay Pen.) Figs: ♂ Tenom, ♀ Krokong.",B_4705
41083,,Butterflies of Borneo Vol. 2 No. 1. Lycaenidae,46,Species or Subspecies,,,Anthene,,emolus,,,,Wingspan,,,,,,,"Distribution: Anthene emolus goberus: S. Thai, Malay Pen., Singapore, Tioman, Sumatra-Borneo(TL).  Other Subspecies: S. India, Bengal, Sikkim, Assam, Bhutan, Myanmar, Thailand, Vietnam, Laos, Andamans, Hainan, Babi, Java, Kangean, Bali, Sumbawa, Palawan, Philippines.",,,,,,,,,,,,,,,,NA,No,,david.lohman,Lohman Lab,02/13/2019 - 09:52,08/18/2019 - 21:09,,"L151. Anthene emolus goberus (Fruhstorfer, 1916) FWL: ♂♀ 12-16mm. Distribution: S. Thai, Malay Pen., Singapore, Tioman, Sumatra-Borneo(TL).  Other Subspecies: S. India, Bengal, Sikkim, Assam, Bhutan, Myanmar, Thailand, Vietnam, Laos, Andamans, Hainan, Babi, Java, Kangean, Bali, Sumbawa, Palawan, Philippines. Larval food Plants: Nephelium litchi, Cassia fistura, Heynea trijuga (Malay Pen.) Figs: ♂ Tenom, ♀ Krokong.",B_4705
64658,,Borboletas do Brasil: Butterflies of Brazil Vol. 3: Hesperiidae,2323,Species or Subspecies,,,Anthoptus,,epictetus,,"(Fabricius, 1793)",,Wingspan,,,26 mm,,,,"Brasil; RJ, SP; SE Mexico (San Luis Potosi) ate Argentina (Misiones); Panama; Guiana Francesa; Colombia (Cauca, Valle del Cauca); Ecuador (Morona-Santiago, Zamora­-Chinchipe); Peru (Cuzco, Oxapampa); Bolivia (La Paz)",,,,,,,,,,,,,,,,NA,No,,minji.ku,Guralnick Lab,12/01/2019 - 16:51,12/01/2019 - 16:51,,"Anthoptus epictetus (Fabricius, 1793) 26 mm Brasil; RJ, SP; SE Mexico (San Luis Potosi) ate Argentina (Misiones); Panama; Guiana Francesa; Colombia (Cauca, Valle del Cauca); Ecuador (Morona-Santiago, Zamora­-Chinchipe); Peru (Cuzco, Oxapampa); Bolivia (La Paz)",B_751
