ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Ankola fan	1	NA	NA	NA	NA	NA	NA	99
Antanartia delius	2	93.3981	276.822328515152	105.990009648165	1	-1.73058035492242	0.01	99
Anteos maerula	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Anteros formosus	2	184.52865	265.570800464646	82.5022004750975	2	-0.982302896140428	0.02	99
Anthanassa texana	2	208.31719	278.468371959596	96.4446916232	3	-0.727372142301722	0.03	99
Anthene larydas	2	231.571975	276.715265111111	96.8136878254814	12	-0.466290367871199	0.12	99
Anthocharis belia	2	67.0275	293.391918767677	130.168098121181	2	-1.73901610329238	0.02	99
Anthocharis cardamines	1	NA	NA	NA	NA	NA	NA	99
Anthoptus epictetus	1	NA	NA	NA	NA	NA	NA	99
Antigius attilia	2	80.4628	285.905207141414	110.186167966966	1	-1.86450269513871	0.01	99
Antillea pelops	2	69.4758	285.476807656566	118.612008623733	1	-1.82107199905682	0.01	99
Antipodia atralba	2	89.2401	270.919037979798	80.8410355341195	1	-2.24736035083468	0.01	99
Antipodia chaostola	2	89.2401	270.919037979798	80.8410355341195	1	-2.24736035083468	0.01	99
Antirrhea philaretes	2	99.1432	274.820330030303	99.5868342410952	2	-1.7640597913274	0.02	99
Apallaga opalinus	2	69.4758	285.476807656566	118.612008623733	1	-1.82107199905682	0.01	99
Apatura metis	2	125.2141	274.930289666667	89.4510945286018	1	-1.67372115965328	0.01	99
Apaturina erminia	2	142.37061	272.250230737374	99.498092996528	2	-1.30534783960036	0.02	99
Apaturopsis cleochares	1	NA	NA	NA	NA	NA	NA	99
Aphantopus hyperantus	2	187.64298	265.406275919192	83.3312280470966	4	-0.933183126441413	0.04	99
Aphnaeus orcas	9	198.075840222222	226.104243505051	29.9993968675463	16	-0.934298892960402	0.16	99
Aphrissa boisduvalii	1	NA	NA	NA	NA	NA	NA	99
Aphrissa statira	3	238.873104666667	254.369954875421	48.3984785608463	29	-0.320192920719019	0.29	99
Aphysoneura pigmentaria	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Apodemia chisosensis	2	189.1223	293.272539666667	128.561859392479	5	-0.810117714218123	0.05	99
Apodemia duryi	1	NA	NA	NA	NA	NA	NA	99
Apodemia hepburni	1	NA	NA	NA	NA	NA	NA	99
Apodemia mormo	2	88.9723	275.813036767677	97.0752581782061	1	-1.92469986971019	0.01	99
Apodemia murphyi	1	NA	NA	NA	NA	NA	NA	99
Apodemia palmerii	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Aponarope sutor	1	NA	NA	NA	NA	NA	NA	99
Aporia agathon	2	85.8842	265.331104343434	84.3530722803458	1	-2.1273309850179	0.01	99
Aporia crataegi	2	189.1223	293.272539666667	128.561859392479	5	-0.810117714218123	0.05	99
Apostictopterus fuliginosus	1	NA	NA	NA	NA	NA	NA	99
Appias lasti	3	211.242457333333	238.172961373737	30.6827422940055	10	-0.877708510613326	0.1	99
Appias libythea	3	128.470152666667	254.270667720539	62.4387928325674	1	-2.01478134580872	0.01	99
Appias paulina	2	237.15834	252.909127565657	48.3648816199308	23	-0.325665793817756	0.23	99
Apyrrothrix araxes	2	80.4628	285.905207141414	110.186167966966	1	-1.86450269513871	0.01	99
Araotes lapithis	2	142.4068	286.930192989899	118.764689753302	3	-1.21688856587006	0.03	99
Araragi enthea	2	195.75913	268.783771646465	91.6601427313581	6	-0.79668915485424	0.06	99
Araschnia levana	2	93.3981	276.822328515152	105.990009648165	1	-1.73058035492242	0.01	99
Arawacus aetolus	0	NA	NA	NA	NA	NA	NA	99
Arcas imperialis	1	NA	NA	NA	NA	NA	NA	99
Archaeoprepona demophon	5	232.5130448	245.637108630303	35.7773103189439	39	-0.366826452668073	0.39	99
Archaeoprepona meander	2	169.1905	274.690617959596	97.9150602667281	1	-1.07746568987657	0.01	99
Archon apollinus	2	176.8466	264.64442220202	83.901335399023	2	-1.04644129660709	0.02	99
Archonias brassolis	0	NA	NA	NA	NA	NA	NA	99
Arethusana arethusa	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Argon lota	1	NA	NA	NA	NA	NA	NA	99
Argynnina cyrila	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Argynnis aglaja	2	247.469126	273.050202606061	99.5589971554811	40	-0.256943895950566	0.4	99
Argynnis anadyomene	1	NA	NA	NA	NA	NA	NA	99
Argynnis hyperbius	2	141.2676	277.962635	105.871533734983	2	-1.29114059443187	0.02	99
Argynnis laodice	2	231.572226	286.50012410101	117.264217962159	12	-0.468411413605602	0.12	99
Argynnis nerippe	2	141.2676	277.962635	105.871533734983	2	-1.29114059443187	0.02	99
Argynnis paphia	2	231.572226	286.50012410101	117.264217962159	12	-0.468411413605602	0.12	99
Argynnis sagana	2	141.2676	277.962635	105.871533734983	2	-1.29114059443187	0.02	99
Argyraspodes argyraspis	0	NA	NA	NA	NA	NA	NA	99
Argyrophorus argenteus	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Arhopala bazalus	2	80.4628	285.905207141414	110.186167966966	1	-1.86450269513871	0.01	99
Arhopala muta	2	80.4628	285.905207141414	110.186167966966	1	-1.86450269513871	0.01	99
Arhopala thamyras	2	143.8503	271.265566626263	89.4352275837135	1	-1.42466531442545	0.01	99
Ariadne ariadne	2	123.7924	282.954537393939	112.357289487545	2	-1.41657152926943	0.02	99
Aricia agestis	2	233.986583	280.565217989899	113.746438302112	17	-0.409495327371795	0.17	99
Arita arita	1	NA	NA	NA	NA	NA	NA	99
Aroma aroma	2	48.7098	267.83913389899	92.4124235667975	1	-2.37121076843742	0.01	99
Arotis derasa	1	NA	NA	NA	NA	NA	NA	99
Arrhenes dschilus	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Arrhenes marnas	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Arteurotia tractipennis	2	123.7924	282.954537393939	112.357289487545	2	-1.41657152926943	0.02	99
Artipe eryx	1	NA	NA	NA	NA	NA	NA	99
Artitropa comus	2	135.10077	254.752228727273	63.8172223899272	2	-1.87490859436337	0.02	99
Artitropa erinnys	2	135.10077	254.752228727273	63.8172223899272	2	-1.87490859436337	0.02	99
Artopoetes pryeri	2	64.188	289.878749757576	131.979746969317	1	-1.71004078231825	0.01	99
Asbolis capucinus	2	99.1432	274.820330030303	99.5868342410952	2	-1.7640597913274	0.02	99
Ascia monuste	5	136.3768696	240.642488305051	38.946216081654	1	-2.67716941965425	0.01	99
Aslauga marshalli	0	NA	NA	NA	NA	NA	NA	99
Aspitha aspitha	1	NA	NA	NA	NA	NA	NA	99
Asterocampa celtis	2	142.37061	272.250230737374	99.498092996528	2	-1.30534783960036	0.02	99
Asterope markii	1	NA	NA	NA	NA	NA	NA	99
Astictopterus jama	1	NA	NA	NA	NA	NA	NA	99
Astraptes alector	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Astraptes anaphus	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Astraptes enotrus	1	NA	NA	NA	NA	NA	NA	99
Astraptes talus	2	237.158172	275.345505171717	97.5679655232094	17	-0.391392123090168	0.17	99
Atalopedes campestris	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Atarnes sallei	2	142.4068	286.930192989899	118.764689753302	3	-1.21688856587006	0.03	99
Aterica rabena	1	NA	NA	NA	NA	NA	NA	99
Athyma perius	1	NA	NA	NA	NA	NA	NA	99
Atlantea perezi	1	NA	NA	NA	NA	NA	NA	99
Atlides halesus	1	NA	NA	NA	NA	NA	NA	99
Atrophaneura alcinous	2	271.825562	280.466092858586	104.69457287236	93	-0.0825308382423994	0.93	99
Atrophaneura coon	2	271.825418	278.162573979798	105.394384622507	92	-0.0601280229729118	0.92	99
Atrophaneura neptunus	1	NA	NA	NA	NA	NA	NA	99
Atrophaneura semperi	2	176.8466	264.64442220202	83.901335399023	2	-1.04644129660709	0.02	99
Atrytone arogos	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Atrytonopsis hianna	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Aubergina alda	1	NA	NA	NA	NA	NA	NA	99
Augiades crinisus	1	NA	NA	NA	NA	NA	NA	99
Autochton cellus	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Axiocerses harpax	2	247.46938	269.697908080808	75.7796811630779	43	-0.293330979223471	0.43	99
Azanus mirza	2	237.158162	284.093235535354	110.390606941919	14	-0.425172710211188	0.14	99
Azanus natalensis	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Azanus ubaldus	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Badamia exclamationis	4	187.016624	242.51435719697	42.6655449480963	5	-1.30076231920825	0.05	99
Baliochila barnesi	0	NA	NA	NA	NA	NA	NA	99
Baoris farri	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Baoris oceia	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Baracus vittatus	2	95.4795	264.633652515152	83.0803028583689	1	-2.03603196781212	0.01	99
Baronia brevicornis	2	192	271.079970969697	90.5561735831429	5	-0.873269793109034	0.05	99
Batesia hypochlora	1	NA	NA	NA	NA	NA	NA	99
