ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs
Ankola fan	1	NA	NA	NA	NA	NA	NA	99
Antanartia delius	2	93.3981	268.116829	69.8501055774009	1	-2.50133808038979	0.01	99
Anteos maerula	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Anteros formosus	2	184.52865	271.221395909091	90.7686820555549	2	-0.955095347270005	0.02	99
Anthanassa texana	2	208.31719	261.510092444444	72.6270603179752	6	-0.732411613681674	0.06	99
Anthene larydas	2	231.571975	286.309003323232	117.979759023467	10	-0.463952704907159	0.1	99
Anthocharis belia	2	67.0275	267.232986434343	82.4870566414286	1	-2.42711395685552	0.01	99
Anthocharis cardamines	1	NA	NA	NA	NA	NA	NA	99
Anthoptus epictetus	1	NA	NA	NA	NA	NA	NA	99
Antigius attilia	2	80.4628	300.238756787879	131.788572764126	1	-1.66764046516561	0.01	99
Antillea pelops	2	69.4758	265.951632868687	70.6843324752514	1	-2.7796235175239	0.01	99
Antipodia atralba	2	89.2401	262.820799393939	72.2667371908607	1	-2.40194460330349	0.01	99
Antipodia chaostola	2	89.2401	262.820799393939	72.2667371908607	1	-2.40194460330349	0.01	99
Antirrhea philaretes	2	99.1432	266.184749878788	96.4424403565725	3	-1.73203362815367	0.03	99
Apallaga opalinus	2	69.4758	265.951632868687	70.6843324752514	1	-2.7796235175239	0.01	99
Apatura metis	2	125.2141	275.910577151515	107.15482170397	2	-1.40634340811873	0.02	99
Apaturina erminia	2	142.37061	281.993212050505	111.639378226832	1	-1.25065728838811	0.01	99
Apaturopsis cleochares	1	NA	NA	NA	NA	NA	NA	99
Aphantopus hyperantus	2	187.64298	270.79732769697	92.0498476993296	4	-0.90336214317903	0.04	99
Aphnaeus orcas	9	237.041291	272.670677311448	40.5616110675179	4	-0.878401655499827	0.04	99
Aphrissa boisduvalii	1	NA	NA	NA	NA	NA	NA	99
Aphrissa statira	3	240.588161333333	267.073936801347	64.0237969538916	21	-0.413686421739215	0.21	99
Aphysoneura pigmentaria	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Apodemia chisosensis	2	189.1223	267.829757666667	81.4096884627548	1	-0.966807012198255	0.01	99
Apodemia duryi	1	NA	NA	NA	NA	NA	NA	99
Apodemia hepburni	1	NA	NA	NA	NA	NA	NA	99
Apodemia mormo	2	88.9723	274.069405171717	97.9629641439775	1	-1.88946003001377	0.01	99
Apodemia murphyi	1	NA	NA	NA	NA	NA	NA	99
Apodemia palmerii	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
Aponarope sutor	1	NA	NA	NA	NA	NA	NA	99
Aporia agathon	2	85.8842	266.939469393939	93.434719892978	1	-1.93777291355209	0.01	99
Aporia crataegi	2	189.1223	267.829757666667	81.4096884627548	1	-0.966807012198255	0.01	99
Apostictopterus fuliginosus	1	NA	NA	NA	NA	NA	NA	99
Appias lasti	3	224.200437333333	270.234214350168	70.2258251359171	6	-0.655510660469136	0.06	99
Appias libythea	3	168.493545333333	277.509446747475	82.1488517985967	1	-1.32705325792519	0.01	99
Appias paulina	2	237.15834	275.024275484848	98.3662300830277	21	-0.384948528096351	0.21	99
Apyrrothrix araxes	2	80.4628	300.238756787879	131.788572764126	1	-1.66764046516561	0.01	99
Araotes lapithis	2	142.4068	280.981743242424	103.782051369827	1	-1.33524960639497	0.01	99
Araragi enthea	2	195.75913	281.430621030303	112.58164170255	5	-0.760972124182151	0.05	99
Araschnia levana	2	93.3981	268.116829	69.8501055774009	1	-2.50133808038979	0.01	99
Arawacus aetolus	0	NA	NA	NA	NA	NA	NA	99
Arcas imperialis	1	NA	NA	NA	NA	NA	NA	99
Archaeoprepona demophon	5	249.4893054	271.128757682828	53.7193838701133	35	-0.402823910548746	0.35	99
Archaeoprepona meander	2	169.1905	275.081330414141	97.2755407158592	1	-1.08856583715579	0.01	99
Archon apollinus	2	176.8466	268.871724939394	90.9725454014868	2	-1.01157029885513	0.02	99
Archonias brassolis	0	NA	NA	NA	NA	NA	NA	99
Arethusana arethusa	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Argon lota	1	NA	NA	NA	NA	NA	NA	99
Argynnina cyrila	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Argynnis aglaja	2	247.469126	274.057234191919	99.2839661121939	36	-0.267798610723043	0.36	99
Argynnis anadyomene	1	NA	NA	NA	NA	NA	NA	99
Argynnis hyperbius	2	141.2676	261.006042424242	75.1996584536831	3	-1.59227375345051	0.03	99
Argynnis laodice	2	231.572226	265.178460272727	71.5607031851441	12	-0.46961855846749	0.12	99
Argynnis nerippe	2	141.2676	261.006042424242	75.1996584536831	3	-1.59227375345051	0.03	99
Argynnis paphia	2	231.572226	265.178460272727	71.5607031851441	12	-0.46961855846749	0.12	99
Argynnis sagana	2	141.2676	261.006042424242	75.1996584536831	3	-1.59227375345051	0.03	99
Argyraspodes argyraspis	0	NA	NA	NA	NA	NA	NA	99
Argyrophorus argenteus	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Arhopala bazalus	2	80.4628	300.238756787879	131.788572764126	1	-1.66764046516561	0.01	99
Arhopala muta	2	80.4628	300.238756787879	131.788572764126	1	-1.66764046516561	0.01	99
Arhopala thamyras	2	143.8503	260.827757686869	60.1377169726266	2	-1.94515960325056	0.02	99
Ariadne ariadne	2	123.7924	270.749193030303	90.7738575965608	1	-1.61893299371989	0.01	99
Aricia agestis	2	233.986583	267.98745479798	80.565357547049	13	-0.422028435461529	0.13	99
Arita arita	1	NA	NA	NA	NA	NA	NA	99
Aroma aroma	2	48.7098	272.135222828283	98.9936180435004	1	-2.25696794645998	0.01	99
Arotis derasa	1	NA	NA	NA	NA	NA	NA	99
Arrhenes dschilus	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Arrhenes marnas	2	95.4795	288.865761414141	112.863907675222	1	-1.71344644534754	0.01	99
Arteurotia tractipennis	2	123.7924	270.749193030303	90.7738575965608	1	-1.61893299371989	0.01	99
Artipe eryx	1	NA	NA	NA	NA	NA	NA	99
Artitropa comus	2	135.10077	272.949027090909	111.155303459295	4.5	-1.24014107110408	0.045	99
Artitropa erinnys	2	135.10077	272.949027090909	111.155303459295	4.5	-1.24014107110408	0.045	99
Artopoetes pryeri	2	64.188	267.41242159596	94.4946145165471	1	-2.15064554351267	0.01	99
Asbolis capucinus	2	99.1432	266.184749878788	96.4424403565725	3	-1.73203362815367	0.03	99
Ascia monuste	5	167.8664432	273.868550713131	59.1077836850809	1	-1.79336968677252	0.01	99
Aslauga marshalli	0	NA	NA	NA	NA	NA	NA	99
Aspitha aspitha	1	NA	NA	NA	NA	NA	NA	99
Asterocampa celtis	2	142.37061	281.993212050505	111.639378226832	1	-1.25065728838811	0.01	99
Asterope markii	1	NA	NA	NA	NA	NA	NA	99
Astictopterus jama	1	NA	NA	NA	NA	NA	NA	99
Astraptes alector	2	192	277.562907161616	106.46672941564	4	-0.803658641823996	0.04	99
