"PD"	"SR"
"Arethusana arethusa"	325.050732	1
"Argon lota"	0	0
"Argynnina cyrila"	325.050732	1
"Argynnis aglaja"	448.784878	2
"Argynnis anadyomene"	325.050678	1
"Argynnis hyperbius"	325.050678	1
"Argynnis laodice"	440.836938	2
"Argynnis nerippe"	325.050678	1
"Argynnis paphia"	440.836938	2
"Argynnis sagana"	325.050678	1
"Argyraspodes argyraspis"	0	0
"Argyrophorus argenteus"	325.050732	1
"Arhopala bazalus"	325.050512	1
"Arhopala muta"	325.050512	1
"Arhopala thamyras"	325.050667	1
"Ariadne ariadne"	325.050651	1
"Aricia agestis"	442.044085	2
"Arita arita"	0	0
"Aroma aroma"	325.050732	1
"Arotis derasa"	0	0
"Arrhenes dschilus"	325.050732	1
"Arrhenes marnas"	325.050732	1
"Arteurotia tractipennis"	325.050651	1
"Artipe eryx"	325.050502	1
"Artitropa comus"	325.050132	1
"Artitropa erinnys"	325.050132	1
"Artopoetes pryeri"	325.050562	1
"Asbolis capucinus"	325.050282	1
"Ascia monuste"	555.789365	5
"Aslauga marshalli"	0	0
"Aspitha aspitha"	0	0
"Asterocampa celtis"	325.050872	1
"Asterope markii"	0	0
"Astictopterus jama"	325.050732	1
"Astraptes alector"	325.050502	1
"Astraptes anaphus"	325.050502	1
"Astraptes enotrus"	0	0
"Astraptes talus"	443.629764	2
"Atalopedes campestris"	325.050732	1
"Atarnes sallei"	325.05054	1
"Aterica rabena"	0	0
"Athyma perius"	325.050667	1
"Atlantea perezi"	0	0
"Atlides halesus"	325.05083	1
"Atrophaneura alcinous"	460.963482	2
"Atrophaneura coon"	460.963428	2
"Atrophaneura neptunus"	325.05077	1
"Atrophaneura semperi"	325.05077	1
"Atrytone arogos"	325.050732	1
"Atrytonopsis hianna"	325.050732	1
"Aubergina alda"	0	0
"Augiades crinisus"	0	0
"Autochton cellus"	325.050502	1
"Axiocerses harpax"	448.785472	2
"Azanus mirza"	443.629754	2
"Azanus natalensis"	325.050502	1
"Azanus ubaldus"	325.050502	1
"Badamia exclamationis"	638.38437	4
"Baliochila barnesi"	0	0
"Baoris farri"	325.050732	1
"Baoris oceia"	325.050732	1
"Baracus vittatus"	325.050732	1
"Baronia brevicornis"	325.050502	1
"Batesia hypochlora"	0	0
"Battus belus"	325.05077	1
"Battus polydamas"	325.05077	1
"Bebearia sophus"	437.391594	2
"Belenois calypso"	443.629485	2
"Belenois creona"	487.063085	3
"Belenois java"	325.050465	1
"Belenois subeida"	325.050465	1
"Berberia abdelkader"	325.050732	1
"Bhagadatta austenia"	325.050763	1
"Bhutanitis mansfieldi"	325.05077	1
"Bhutanitis thaidina"	325.05077	1
"Bia actorion"	325.050282	1
"Bibasis sena"	567.36355	3
"Biblis hyperia"	440.836281	2
"Bicyclus anynana"	325.050732	1
"Bindahara phocides"	448.785212	2
"Boloria pales"	325.050678	1
"Borbo borbonica"	325.050732	1
"Borbo cinnara"	325.050732	1
"Brassolis sophorae"	481.520562	3
"Brenthis daphne"	440.836938	2
"Brenthis ino"	564.571258	3
"Brephidium exilis"	532.775752	3
"Brevioleria arzalia"	0	0
"Brintesia circe"	325.050732	1
"Bungalotis astylos"	0	0
"Bungalotis erythus"	325.050262	1
"Burara harisa"	567.550842	3
"Burara oedipodea"	443.6292	2
"Burmaozephyrus kothayaungi"	325.050512	1
"Butleria flavomaculatus"	0	0
"Byblia anvatara"	448.785193	2
"Byblia ilithyia"	325.050651	1
"Cabares potrillo"	325.050576	1
"Cacyreus lingeus"	448.785002	2
"Caenides dacela"	325.050282	1
"Calephelis nemesis"	456.731572	2
"Calephelis perditalis"	325.050272	1
"Calephelis virginiensis"	325.050272	1
"Caleta caleta"	325.050852	1
"Caligo eurilochus"	383.311462	2
"Calinaga buddha"	325.050862	1
"Calleagris jamesoni"	325.050502	1
"Callerebia annada"	0	0
"Callicore astarte"	325.050844	1
"Callithomia lenea"	325.050802	1
"Callophrys rubi"	977.042285	7
"Calpodes ethlius"	417.961052	3
"Caltoris cormasa"	325.050732	1
"Calycopis cecrops"	761.55248	5
"Calydna sturnula"	325.050922	1
"Candalides xanthospilos"	325.050705	1
"Caprona pillaana"	325.050645	1
"Capronnieria galesus"	0	0
"Capys alpheus"	325.050662	1
"Carcharodus alceae"	443.629704	2
"Carcharodus lavatherae"	325.050552	1
"Caria ino"	325.050872	1
"Caria mantinea"	0	0
"Carrhenes canescens"	325.050645	1
"Carterocephalus palaemon"	325.050732	1
"Carystus phorcus"	0	0
"Cassionympha cassius"	418.871532	2
"Castalius rosimon"	325.050852	1
"Catacroptera cloanthe"	414.801402	2
"Catapaecilma elegans"	325.050105	1
"Catapaecilma major"	540.268305	3
"Catasticta nimbice"	325.05083	1
"Catochrysops strabo"	443.629754	2
"Catonephele numilia"	584.698038	3
"Catopsilia scylla"	325.050502	1
"Catopyrops ancyra"	627.006897	4
"Celaenorrhinus aurivittata"	325.050562	1
"Celaenorrhinus leucocera"	325.049922	1
"Celaenorrhinus patula"	0	0
"Celastrina argiolus"	971.656942	7
"Celotes nessus"	325.050645	1
"Cephrenes augiades"	325.050282	1
"Cepora nerissa"	325.050465	1
"Ceratinia neso"	325.050802	1
"Ceratrichia phocion"	325.050732	1
"Cerautola ceraunia"	0	0
"Cercyonis oetus"	325.050732	1
"Cercyonis pegala"	460.809186	2
"Cethosia biblis"	325.050658	1
"Cethosia cydippe"	325.050658	1
"Chaetocneme critomedia"	823.622587	5
"Chaetoprocta odata"	325.050542	1
"Chalinga elwesi"	325.0504	1
"Chalodeta lypera"	443.629711	2
"Chalybs janias"	0	0
"Charana mandarinus"	325.050922	1
"Charaxes bernardus"	695.327616	4
"Charaxes brutus"	627.036869	4
"Charaxes contrarius"	325.050502	1
"Charaxes jasius"	1156.572901	8
"Charaxes varanes"	404.967844	2
"Charaxes zoolina"	325.050502	1
"Charis anius"	325.050272	1
"Chazara briseis"	325.050732	1
"Cheritra freja"	579.542517	3
"Chersonesia rahria"	325.050862	1
"Chilades lajus"	523.545834	3
"Chillanella stelligera"	0	0
"Chioides albofasciatus"	325.050502	1
"Chioides catillus"	325.050502	1
"Chiomara asychis"	325.050687	1
"Chiomara georgina"	325.050687	1
"Chiomara mithrax"	325.050552	1
"Chitoria chrysolora"	325.050872	1
"Chloreuptychia arnaca"	325.050732	1
"Chloroselas esmeralda"	0	0
"Chloroselas pseudozeritis"	325.050502	1
"Chlorostrymon simaethis"	448.785164	2
"Chlosyne janais"	325.049922	1
"Choaspes benjaminii"	325.050662	1
"Chondrolepis niveicornis"	325.050732	1
"Choranthus haitensis"	325.050732	1
"Choranthus radians"	325.050732	1
"Chorinea licursis"	0	0
"Chrysoplectrum perniciosus"	0	0
"Chrysoplectrum pervivax"	0	0
"Chrysoritis oreas"	0	0
"Chrysozephyrus ataxus"	325.050512	1
"Chrysozephyrus smaragdina"	436.199212	2
"Cigaritis takanonis"	0	0
"Cigaritis zohra"	443.629595	2
"Cirrochroa aoris"	325.050678	1
"Cirrochroa orissa"	0	0
"Cissia confusa"	630.970222	4
"Cissia labe"	325.050732	1
"Cissia myncea"	325.050732	1
"Cissia palladia"	325.050732	1
