Tree_label	Lep_family	Lep_accepted_name	PD	Num.families	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	PD.3sources	Num.families.3sources	mpd.obs.3sources	mpd.rand.mean.3sources	mpd.rand.sd.3sources	mpd.obs.rank.3sources	mpd.obs.z.3sources	mpd.obs.p.3sources	mntd.obs.3sources	mntd.rand.mean.3sources	mntd.rand.sd.3sources	mntd.obs.rank.3sources	mntd.obs.z.3sources	mntd.obs.p.3sources
BN000095_140_Hesperiidae_Eudaminae_Eudamini_Aguna_asander	Hesperiidae	Aguna asander	448.784992	2	247.46904	279.3223885	103.9888671	40	-0.306314987	0.4	247.46904	274.8451683	97.08495156	39	-0.281981171	0.39	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174415_X_Hesperiidae_Eudaminae_Eudamini_Aguna_claxon	Hesperiidae	Aguna claxon	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR7174413_X_Hesperiidae_Eudaminae_Eudamini_Aguna_metophis	Hesperiidae	Aguna metophis	325.050502	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN003418_LEP59327_Hesperiidae_Hesperiinae_Hesperiini_Aides_duma	Hesperiidae	Aides duma	325.050282	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000096_620_Hesperiidae_Tagiadinae_Celaenorrhinini_Alenia_namaqua	Hesperiidae	Alenia namaqua	325.049922	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000097_EI16D306_Hesperiidae_Coeliadinae_X_Allora_major	Hesperiidae	Allora major	325.050687	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000102_LEP40105_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_eos	Hesperiidae	Amblyscirtes eos	460.809005	2	271.516883	271.3406991	99.74732056	77.5	0.001766302	0.775	271.516883	265.8709737	82.22129794	74	0.068667237	0.74	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000529_31_Hesperiidae_Hesperiinae_Hesperiini_Amblyscirtes_simius	Hesperiidae	Amblyscirtes simius	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000108_615_Hesperiidae_Hesperiinae_Aeromachini_Ampittia_dioscorides	Hesperiidae	Ampittia dioscorides	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BN000109_FH16Y028_Hesperiidae_Hesperiinae_Aeromachini_Ampittia_virgata	Hesperiidae	Ampittia virgata	325.050732	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
