PD	SR
Orses cynisca	0	0
Orsotriaena medus	325.050732	1
Ortilia liriope	480.665476	3
Osmodes laronia	325.050952	1
Oxynetra stangelandi	0	0
Oxynthes corusca	0	0
Pachliopta aristolochiae	325.05077	1
Pachliopta kotzebuea	0	0
Pachythone gigas	0	0
Pachythone xanthe	0	0
Pagyris cymothoe	325.050802	1
Palaeonympha opalina	325.050732	1
Palla ussheri	448.784774	2
Panacea procilla	0	0
Pandita sinope	325.050502	1
Panoquina lucas	325.050732	1
Panoquina ocola	325.050732	1
Panoquina panoquin	325.050732	1
Panthiades hebraeus	0	0
Pantoporia hordonia	325.050502	1
Panyapedaliodes drymaea	0	0
Papias subcostulata	0	0
Papilio alexanor	325.050162	1
Papilio ambrax	325.049924	1
Papilio clytia	325.050763	1
Papilio deiphobus	325.049924	1
Papilio elwesi	325.05054	1
Papilio gigon	325.049924	1
Papilio joanae	325.050162	1
Papilio machaon	542.514434	3
Papilio memnon	460.962464	2
Papilio phestus	325.049924	1
Papilio polytes	325.049924	1
Papilio polyxenes	448.784134	2
Papilio protenor	325.049924	1
Papilio slateri	325.050763	1
Papilio xuthus	460.962694	2
Papilio zelicaon	448.784134	2
Paracarystus hypargyra	0	0
Parachoranthus magdalia	0	0
Paralethe dendrophilus	325.050732	1
Paralucia pyrodiscus	325.050232	1
Paramacera xicaque	0	0
Paramimus scurra	0	0
Parantica aglea	325.050552	1
Parantica sita	325.050552	1
Pararge aegeria	325.050732	1
Parasarpa daraxa	325.050658	1
Paratisiphone lyrnessa	0	0
Paratrytone snowi	0	0
Pardaleodes edipus	0	0
Pardaleodes incerta	0	0
Pardopsis punctatissima	325.050678	1
Parelbella ahira	0	0
Parelbella macleannani	0	0
Pareronia valeria	325.050465	1
Pareuptychia hesionides	0	0
Pareuptychia ocirrhoe	325.050732	1
Parides agavus	325.05077	1
Parides eurimedes	325.05077	1
Parides photinus	325.05077	1
Parnara apostata	325.050732	1
Parnara guttatus	325.050732	1
Parnassius apollo	325.051262	1
Parnassius imperator	0	0
Parnassius smintheus	325.051262	1
Parosmodes morantii	443.62918	2
Parrhasius polibetes	0	0
Parthenos sylvina	572.517768	3
Paryphthimoides eous	325.050732	1
Paryphthimoides poltys	325.050732	1
Pasma tasmanicus	325.050732	1
Passova gellias	0	0
Passova passova	0	0
Patricia dercyllidas	0	0
Patsuia sinensium	0	0
Pellicia arina	0	0
Pellicia dimidiata	0	0
Pelopidas mathias	418.872232	2
Penthema adelma	325.050732	1
Pentila pauli	0	0
Pentila tropicalis	0	0
Perichares lotus	0	0
Periplacis pretus	325.050292	1
Perisama bomplandii	0	0
Perophthalma lasus	0	0
Perrhybris pamela	325.050465	1
Petrelaea dana	0	0
Phaedyma columella	672.11746	4
Phaeostrymon alcestis	325.050844	1
Phalanta eurytis	437.071658	2
Phalanta phalantha	750.079808	5
Phanus vitreus	0	0
Phareas coeleste	0	0
Pharmacophagus antenor	325.05077	1
Pharneuptychia phares	0	0
Phasis pringlei	0	0
Phengaris atroguttata	325.050552	1
Phengaris nausithous	0	0
Philaethria dido	325.050658	1
Philotes sonorensis	325.051262	1
Philotiella leona	0	0
Phlyaria cyara	325.050502	1
Phocides pigmalion	325.050675	1
Phocides polybius	325.050685	1
Phoebis agarithe	325.050502	1
Phoebis argante	325.050502	1
Phoebis sennae	325.050502	1
Pholisora catullus	325.050352	1
Pholisora mejicanus	325.050352	1
Phyciodes cocyta	325.050272	1
Phyciodes tharos	325.050272	1
Physcaeneura panda	325.050732	1
Phystis simois	325.049922	1
Pieriballia viardi	0	0
Pieris brassicae	510.350665	4
Pieris napi	406.651495	2
Pieris rapae	548.628965	5
Pierphulia rosea	0	0
Pinacopteryx eriphia	325.050465	1
Pirdana hyela	325.050132	1
Piruna aea	0	0
Piruna pirus	0	0
Pithecops corvus	448.785052	2
Placidina euryanassa	325.050802	1
Plastingia naga	325.050282	1
Platylesches picanini	325.050657	1
Plautella cossaea	0	0
Plebejidea loewii	0	0
Plebejus anna	325.050502	1
Plebejus argus	673.827802	4
Plebejus idas	448.785092	2
Plebejus melissa	325.050502	1
Plebulina emigdionis	325.050352	1
Ploetzia amygdalis	0	0
Poanes zabulon	325.050732	1
Poladryas arachne	325.050532	1
Polites vibex	325.050732	1
Polycaena tamerlana	0	0
Polyctor polyctor	0	0
Polygonia c-album	925.991954	7
Polygonia c-aureum	325.050872	1
Polygonus leo	325.050502	1
Polygonus savigny	325.050502	1
Polyommatus icarus	325.050502	1
Polythrix asine	325.050502	1
Polythrix octomaculata	325.050502	1
Polytremis lubricans	325.050732	1
Polyura eudamippus	523.245732	3
Pompeius verna	0	0
Pontia beckerii	369.273865	2
Pontia daplidice	384.526095	2
Poritia hewitsoni	0	0
Posttaygetis penelea	0	0
Potanthus omaha	325.050732	1
Praepedaliodes phanias	325.050732	1
Praephilotes anthracias	0	0
Praetaxila segecia	0	0
Pratapa deva	446.435952	2
Prepona claudina	325.050658	1
Prepona dexamenus	0	0
Prepona laertes	440.836527	2
Prioneris thestylis	325.050465	1
Problema byssus	325.050732	1
Proeidosa polysema	325.050732	1
Prolibythea carinenta	325.050872	1
Prosotas nora	325.050502	1
Protantigius superans	325.050658	1
Proteides mercurius	325.050502	1
Proterebia phegea	0	0
Protesilaus protesilaus	0	0
Prothoe franckii	325.05054	1
Protogoniomorpha anacardii	325.049922	1
Protogoniomorpha parhassus	325.049922	1
Protonymphidia senta	0	0
Pseudacraea rubrobasalis	0	0
Pseudaletis agrippina	0	0
Pseudalmenus chlorinda	325.050502	1
Pseudargynnis hegemone	0	0
Pseudergolis avesta	0	0
Pseudochrysops bornoi	0	0
Pseudocoladenia dan	325.050352	1
Pseudocopaeodes eunus	325.050732	1
Pseudodipsas eone	584.544004	3
Pseudolucia chilensis	0	0
Pseudolucia parana	0	0
Pseudolycaena marsyas	0	0
Pseudonacaduba aethiops	0	0
Pseudonascus paulliniae	0	0
Pseudoneptis bugandensis	325.050862	1
Pseudonympha trimenii	325.050732	1
Pseudopieris nehemia	0	0
Pseudopontia paradoxa	325.05083	1
Pseudopontia zambezi	0	0
Pseudoscada timna	325.050802	1
Pseudozizeeria maha	564.570611	3
Psolos fuligo	325.050952	1
Psychonotis caelius	325.050852	1
Ptelina carnuta	0	0
Pteronymia aletta	325.050802	1
Pteroteinon laufella	325.050282	1
Pterourus glaucus	1057.912479	7
Pterourus troilus	707.243527	4
Ptychandra lorquinii	325.050732	1
Pycina zamba	0	0
Pyrgus albescens	325.050645	1
Pyrgus carthami	443.629945	2
Pyrgus malvae	325.050892	1
Pyrgus scriptura	325.050645	1
Pyrisitia lisa	325.050502	1
Pyrisitia proterpia	325.050502	1
Pyronia tithonus	325.050732	1
Pyrrhiades lucagus	0	0
Pyrrhocalles antiqua	0	0
Pyrrhochalcia iphis	325.050282	1
Pyrrhogyra neaerea	325.050844	1
Pyrrhogyra otolais	0	0
Pyrrhopyge crida	0	0
Pyrrhopyge phidias	0	0
Pyrrhopygopsis socrates	325.050282	1
Pythonides jovianus	0	0
Quadrus cerialis	0	0
Quedara monteithi	325.050282	1
Quinta cannae	325.050952	1
Rachana jalindra	325.050922	1
Ragadia luzonia	0	0
Ragadia makuta	0	0
Rapala varuna	769.348884	5
Rathinda amor	788.001613	5
Ravenna niveus	325.050512	1
Rekoa meton	0	0
Reliquia santamarta	0	0
Remelana jangala	757.159182	5
Rhabdodryas trite	325.050502	1
Rhetus dysonii	0	0
Rhinopalpa polynice	325.050262	1
Rhinthon cubana	0	0
Rimisia miris	0	0
Rohana parisatis	325.050872	1
Sabera caesina	325.050282	1
Sahulana scintillata	443.629754	2
Saigusaozephyrus atabyrius	0	0
Sais rosalia	0	0
Salanoemia sala	325.050282	1
Sarangesa dasahara	325.049922	1
Saribia perroti	0	0
Sarmientoia eriopis	0	0
Sarota myrtea	0	0
Sasakia charonda	325.050872	1
Satarupa gopala	0	0
Satarupa nymphalis	325.049924	1
Satyrium eximia	325.050852	1
Satyrium pruni	325.050892	1
Satyrium tengstroemi	325.050502	1
Satyrotaygetis satyrina	325.050732	1
Satyrus ferula	325.050732	1
Scolitantides orion	325.051262	1
Scolitantides vicrama	325.050552	1
Selenophanes cassiope	0	0
Semalea pulvina	325.050972	1
Semanga superba	0	0
Sephisa chandra	325.050512	1
Sericinus montela	325.05077	1
Seseria dohertyi	0	0
Sevenia amulia	325.050651	1
Shaanxiana takashimai	0	0
Shijimiaeoides divina	0	0
Shirozua jonasi	437.752012	2
Shizuyaozephyrus kyokoae	0	0
Sibataniozephyrus fujisanus	325.050512	1
Siderone galanthis	325.050658	1
Signeta flammeata	325.050732	1
Simiskina phalia	0	0
Siproeta epaphus	325.049922	1
Sithon nedymond	0	0
Sloperia proto	325.050552	1
Smyrna blomfildia	325.050262	1
Sophista latifasciata	0	0
Spalgis epeus	0	0
Spalgis lemolea	0	0
Spathilepia clonius	325.050502	1
Spialia colotes	0	0
Spialia orbifer	325.050892	1
Spioniades artemides	0	0
Splendeuptychia doxes	0	0
Splendeuptychia libitina	0	0
Stallingsia maculosus	0	0
Staphylus ceos	0	0
Staphylus hayhurstii	325.050352	1
Steroma bega	0	0
Stibochiona coresia	0	0
Stichelia bocchoris	0	0
Stichophthalma howqua	431.784452	2
Stinga morrisoni	0	0
Strymon melinus	799.940245	5
Stugeta bowkeri	503.09823	3
Stygionympha vigilans	405.852132	2
Suada swerga	0	0
Suastus gremius	325.050282	1
Suniana sunias	325.050732	1
Surendra quercetorum	325.050502	1
Symbrenthia hippoclus	325.050262	1
Symmachia rubina	0	0
Symphaedra nais	325.050484	1
Synale cynaxa	0	0
Synapte silius	0	0
Synargis calyce	0	0
Systasea zampa	325.050645	1
Tagiades flesus	460.809155	2
Tagiades gana	325.050632	1
Tagiades japetus	460.809312	2
Tagiades litigiosa	444.822932	2
Tajuria cippus	325.050922	1
Talbotia naganum	325.050405	1
Talicada nyseus	325.051262	1
Talides sinois	0	0
Tanaecia lepidea	448.785267	2
Tapena thwaitesi	325.050502	1
Taractrocera luzonensis	0	0
Taractrocera maevius	325.050732	1
Taraka hamada	0	0
Tarsoctenus corytus	0	0
Tartesa astarte	0	0
Tarucus theophrastus	325.050852	1
Tatochila autodice	325.050395	1
Taxila haquinus	0	0
Taygetina kerea	0	0
Taygetis virgilia	0	0
Taygetis ypthima	325.050732	1
Tegosa claudina	0	0
Teinopalpus imperialis	325.05054	1
Telemiades amphion	0	0
Telicota augias	399.739132	2
Tellervo assarica	0	0
Tellervo zoilus	325.050552	1
Temenis laothoe	325.050844	1
Teniorhinus harona	0	0
Teniorhinus watsoni	0	0
Teracolus subfasciatus	0	0
Teratoneura isabellae	0	0
Teratozephyrus arisanus	325.050512	1
Terenthina terentia	0	0
Terinos clarissa	0	0
Terinos terpander	325.050667	1
Teriocolias zelia	0	0
Teriomima subpunctata	0	0
Texola elada	0	0
Thaduka multicaudata	325.050651	1
Thaleropis ionia	325.050872	1
Thamala marciana	0	0
Thauria aliris	0	0
Theagenes dichrous	0	0
Thecla betulae	436.199208	2
Theclinesthes miskini	560.008334	3
Theclopsis lydus	0	0
Theope publius	325.050502	1
Theope terambus	0	0
Theope virgilius	440.836521	2
Thereus orasus	0	0
Theritas mavors	0	0
Theritas triquetra	0	0
Thespieus macareus	0	0
Thestor protumnus	0	0
Thisbe irenea	325.050651	1
Thisbe lycorias	0	0
Thoressa varia	325.050732	1
Thorybes bathyllus	325.050502	1
Thorybes confusis	325.050502	1
Thracides phidon	0	0
Thymelicus lineola	325.050732	1
Thymelicus sylvestris	325.050732	1
Thyridia psidii	325.050802	1
Tigridia acesta	325.050262	1
Timelaea albescens	325.050872	1
Tirumala limniace	448.785102	2
Tisiphone abeona	325.050752	1
Tithorea tarricina	325.050552	1
Tmolus echion	414.802306	2
Tomares ballus	325.050502	1
Tongeia filicaudis	325.051262	1
Tongeia fischeri	325.051262	1
Torynesis mintha	325.050732	1
Toxidia parvulus	325.050732	1
Toxidia peron	533.472942	3
Trapezites petalia	325.050132	1
Trapezites symmomus	325.050132	1
Triclema nigeriae	325.050502	1
Triclema rufoplagata	0	0
Trimenia argyroplaga	0	0
Triskelionia tricerata	0	0
Trogonoptera brookiana	325.05077	1
Troides rhadamantus	325.05077	1
Troides richmondia	0	0
Tsitana tsita	325.050732	1
Turanana endymion	325.050352	1
Tuxentius melaena	437.752352	2
Udara albocaeruleus	663.819362	4
Udara dilectus	325.050512	1
Udaspes folus	460.809402	2
Udranomia kikkawai	0	0
Udranomia orcinus	0	0
Unkana ambasa	460.809112	2
Urbanus dorantes	325.050502	1
Urbanus doryssus	0	0
Urbanus esmeraldus	0	0
Urbanus procne	325.050732	1
Urbanus proteus	460.809112	2
Vagrans egista	448.784868	2
Vanessa atalanta	398.519362	2
Vanessa indica	596.269015	4
Vanessa tameamea	325.050262	1
Vanessula milca	0	0
Vansomerenia rogersi	0	0
Veladyris pardalis	0	0
Venada nevada	325.050763	1
Vertica verticalis	0	0
Vettius lafrenaye	0	0
Vindula arsinoe	325.050658	1
Wagimo signata	325.050512	1
Wallengrenia otho	325.050732	1
Wallengrenia premnas	325.050732	1
Xanthodisca vibius	325.050972	1
Xanthotaenia busiris	0	0
Xeniades orchamus	0	0
Xenophanes tryxus	325.050645	1
Xois sesara	0	0
Yamamotozephyrus kwangtungensis	0	0
Yanguna cosyra	325.050687	1
Yoma sabina	325.049922	1
Ypthima argus	325.050732	1
Ypthimomorpha itonia	0	0
Yramea cytheris	0	0
Zaretis callidryas	0	0
Zaretis isidora	0	0
Zegris eupheme	325.050395	1
Zela zeus	0	0
Zemeros flegyas	325.050484	1
Zenonia zeno	325.050732	1
Zerene cesonia	325.050502	1
Zerynthia cerisyi	325.05077	1
Zerynthia polyxena	325.05077	1
Zesius chrysomallus	443.629015	2
Zestusa dorus	325.050512	1
Zethera pimplea	0	0
Ziegleria hesperitis	0	0
Zinaspa youngi	0	0
Zintha hintza	325.050852	1
Zizeeria karsandra	653.447122	4
Zizeeria knysna	792.809521	5
Zizina otis	325.050502	1
Zizula hylax	611.734611	4
Zographetus ogygia	0	0
Zophopetes cerymica	325.050282	1
Zophopetes dysmephila	325.050282	1
