PD	SR
Bungalotis astylos	0	0
Bungalotis erythus	0	0
Burara harisa	460.809112	2
Burara oedipodea	443.6292	2
Burmaozephyrus kothayaungi	0	0
Butleria flavomaculatus	0	0
Byblia anvatara	325.050651	1
Byblia ilithyia	325.050651	1
Cabares potrillo	0	0
Cacyreus lingeus	448.785002	2
Caenides dacela	325.050282	1
Calephelis nemesis	456.731572	2
Calephelis perditalis	325.050272	1
Calephelis virginiensis	325.050272	1
Caleta caleta	325.050852	1
Caligo eurilochus	325.050882	1
Calinaga buddha	325.050862	1
Calleagris jamesoni	0	0
Callerebia annada	0	0
Callicore astarte	0	0
Callithomia lenea	325.050802	1
Callophrys rubi	660.448742	4
Calpodes ethlius	363.289652	2
Caltoris cormasa	0	0
Calycopis cecrops	761.55248	5
Calydna sturnula	0	0
Candalides xanthospilos	325.050705	1
Caprona pillaana	325.050645	1
Capronnieria galesus	0	0
Capys alpheus	325.050662	1
Carcharodus alceae	325.050645	1
Carcharodus lavatherae	0	0
Caria ino	325.050872	1
Caria mantinea	0	0
Carrhenes canescens	0	0
Carterocephalus palaemon	325.050732	1
Carystus phorcus	0	0
Cassionympha cassius	418.871532	2
Castalius rosimon	325.050852	1
Catacroptera cloanthe	414.801402	2
Catapaecilma elegans	325.050105	1
Catapaecilma major	325.050105	1
Catasticta nimbice	0	0
Catochrysops strabo	443.629754	2
Catonephele numilia	325.050651	1
Catopsilia scylla	325.050502	1
Catopyrops ancyra	553.537797	3
Celaenorrhinus aurivittata	0	0
Celaenorrhinus leucocera	325.049922	1
Celaenorrhinus patula	0	0
Celastrina argiolus	886.163562	6
Celotes nessus	325.050645	1
Cephrenes augiades	325.050282	1
Cepora nerissa	325.050465	1
Ceratinia neso	0	0
Ceratrichia phocion	0	0
Cerautola ceraunia	0	0
Cercyonis oetus	325.050732	1
Cercyonis pegala	325.050732	1
Cethosia biblis	325.050658	1
Cethosia cydippe	325.050658	1
Chaetocneme critomedia	588.664954	3
Chaetoprocta odata	325.050542	1
Chalinga elwesi	325.0504	1
Chalodeta lypera	325.050645	1
Chalybs janias	0	0
Charana mandarinus	0	0
Charaxes bernardus	579.541597	3
Charaxes brutus	627.036869	4
Charaxes contrarius	325.050502	1
Charaxes jasius	1035.187593	7
Charaxes varanes	404.967844	2
Charaxes zoolina	325.050502	1
Charis anius	325.050272	1
Chazara briseis	325.050732	1
Cheritra freja	579.542517	3
Chersonesia rahria	325.050862	1
Chilades lajus	443.628834	2
Chillanella stelligera	0	0
Chioides albofasciatus	325.050502	1
Chioides catillus	325.050502	1
Chiomara asychis	325.050687	1
Chiomara georgina	325.050687	1
Chiomara mithrax	0	0
Chitoria chrysolora	325.050872	1
Chloreuptychia arnaca	325.050732	1
Chloroselas esmeralda	0	0
Chloroselas pseudozeritis	325.050502	1
Chlorostrymon simaethis	448.785164	2
Chlosyne janais	325.049922	1
