Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged,Number_of_host_families,PD,MPD,MNTD,DSI_MPD,DSI_MNTD,host_families
35,B_13371,Nymphalidae,Nymphalinae,Melitaeini,Melitaea,didyma,Melitaea didyma,2,431.791422,208.31719,208.31719,-0.648312539,-0.697522848,Asteraceae Acanthaceae
36,B_13172,Nymphalidae,Nymphalinae,Kallimini,Kallima,inachus,Kallima inachus,1,325.049922,69.4758,69.4758,-1.866533435,-4.04570489,Acanthaceae
37,B_13522,Nymphalidae,Nymphalinae,Nymphalini,Nymphalis,xanthomelas,Nymphalis xanthomelas,2 5 1,398.519362 664.781415 325.050262,146.93824 185.4559052 93.3981,146.93824 163.2975306 93.3981,-4.512014644,-5.044619743,Cannabaceae Urticaceae Malvaceae Cannabaceae Moraceae Ulmaceae Urticaceae Urticaceae
38,B_13082,Nymphalidae,Nymphalinae,Coeini,Pycina,zamba,Pycina zamba,2,443.629315,237.158323,237.158323,-0.337902802,-0.323132869,Malvaceae Urticaceae
39,B_13081,Nymphalidae,Nymphalinae,Coeini,Historis,odius,Historis odius,2,443.629315,237.158323,237.158323,-0.337902802,-0.323132869,Malvaceae Urticaceae
40,B_10489,Nymphalidae,Cyrestinae,0,Cyrestis,nivea,Cyrestis nivea,NA,NA,NA,NA,NA,NA,NA
41,B_9903,Nymphalidae,Biblidinae,Biblidini,Epiphile,adrasta,Epiphile adrasta,1,325.050651,123.7924,123.7924,-1.620257173,-1.539543392,Euphorbiaceae
42,B_9844,Nymphalidae,Biblidinae,Biblidini,Diaethria,anna,Diaethria anna,1,325.050651,123.7924,123.7924,-1.620257173,-1.539543392,Euphorbiaceae
43,B_10003,Nymphalidae,Biblidinae,Biblidini,Nessaea,aglaura,Nessaea aglaura,1,325.050651,123.7924,123.7924,-1.620257173,-1.539543392,Euphorbiaceae
44,B_10011,Nymphalidae,Biblidinae,Biblidini,Panacea,procilla,Panacea procilla,1,325.050651,123.7924,123.7924,-1.620257173,-1.539543392,Euphorbiaceae
45,B_9888,Nymphalidae,Biblidinae,Biblidini,Dynamine,postverta,Dynamine postverta,1,325.050651,123.7924,123.7924,-1.620257173,-1.539543392,Euphorbiaceae
46,B_9803,Nymphalidae,Biblidinae,Biblidini,Biblis,hyperia,Biblis hyperia,1,325.050651,123.7924,123.7924,-1.620257173,-1.539543392,Euphorbiaceae
47,B_9715,Nymphalidae,Apaturinae,0,Doxocopa,agathina,Doxocopa agathina,NA,NA,NA,NA,NA,NA,NA
48,B_13590,Nymphalidae,Pseudergolinae,0,Dichorragia,nesimachus,Dichorragia nesimachus,NA,NA,NA,NA,NA,NA,NA
49,B_11843,Nymphalidae,Limenitidinae,Limenitidini,Bebearia,sophus,Bebearia sophus,1,325.050658,125.2141,125.2141,-1.523911704,-1.390436614,Salicaceae
50,B_11940,Nymphalidae,Limenitidinae,Limenitidini,Euphaedra,acuta,Euphaedra acuta,1,325.050658,125.2141,125.2141,-1.523911704,-1.390436614,Salicaceae
51,B_12459,Nymphalidae,Limenitidinae,Limenitidini,Limenitis,arthemis,Limenitis arthemis,1,325.050658,125.2141,125.2141,-1.523911704,-1.390436614,Salicaceae
52,B_11913,Nymphalidae,Limenitidinae,Limenitidini,Cymothoe,lurida,Cymothoe lurida,1,325.050658,125.2141,125.2141,-1.523911704,-1.390436614,Salicaceae
53,B_12728,Nymphalidae,Limenitidinae,Neptini,Neptis,nata,Neptis nata,4,672.11746,233.3367207,229.8837345,-0.64051064,-0.376033933,Fabaceae Hypericaceae Malvaceae Rhamnaceae
54,B_12807,Nymphalidae,Limenitidinae,Parthenini,Parthenos,sylvia,Parthenos sylvia,3,572.517768,252.7655907,242.1686973,-0.276637611,-0.017921127,Cucurbitaceae Passifloraceae Menispermaceae
55,B_10980,Nymphalidae,Heliconiinae,Acraeini,Cethosia,cyane,Cethosia cyane,1 2,325.050658 448.785258,116.5963 247.469446,116.5963 247.469446,-1.816160139,-2.284223377,Passifloraceae Apocynaceae Passifloraceae
56,B_10974,Nymphalidae,Heliconiinae,Acraeini,Altinote,ozomene,Altinote ozomene,1 2,325.050658 448.785258,116.5963 247.469446,116.5963 247.469446,-1.816160139,-2.284223377,Passifloraceae Apocynaceae Passifloraceae
57,B_11155,Nymphalidae,Heliconiinae,Heliconiini,Heliconius,melpomene,Heliconius melpomene,1,325.050658,116.5963,116.5963,-1.520294168,-2.131608446,Passifloraceae
58,B_11237,Nymphalidae,Heliconiinae,Vagrantini,Vagrans,egista,Vagrans egista,1,325.050658,116.5963,116.5963,-1.520294168,-2.131608446,Passifloraceae
59,B_11238,Nymphalidae,Heliconiinae,Vagrantini,Vindula,arsinoe,Vindula arsinoe,1,325.050658,116.5963,116.5963,-1.520294168,-2.131608446,Passifloraceae
60,B_11080,Nymphalidae,Heliconiinae,Argynnini,Brenthis,daphne,Brenthis daphne,1,325.050678,141.2676,141.2676,-1.243272263,-1.554566676,Violaceae
61,B_11413,Nymphalidae,Danainae,Ithomiini,Ithomia,patilla,Ithomia patilla,1,325.050802,79.32,79.32,-2.326553541,-1.864410225,Solanaceae
62,B_11447,Nymphalidae,Danainae,Mechanitini,Thyridia,psidii,Thyridia psidii,NA,NA,NA,NA,NA,NA,NA
63,B_16076,Nymphalidae,Danainae,Tellervini,Tellervo,zoilus,Tellervo zoilus,1 3,325.050552 528.691122,61.789 226.3688347,61.789 180.9123107,-2.615614816,-3.363246756,Apocynaceae Apocynaceae Rubiaceae Aristolochiaceae
64,B_10629,Nymphalidae,Danainae,Danaini,Ideopsis,vitrea,Ideopsis vitrea,2,448.785102,247.46919,247.46919,-0.429240221,-0.279816465,Fabaceae Apocynaceae
65,B_10544,Nymphalidae,Danainae,Danaini,Danaus,melanippus,Danaus melanippus,2,448.785102,247.46919,247.46919,-0.429240221,-0.279816465,Fabaceae Apocynaceae
66,B_11590,Nymphalidae,Libytheinae,0,Libythea,celtis,Libythea celtis,NA,NA,NA,NA,NA,NA,NA
67,B_5839,Lycaenidae,Polyommatinae,Polyommatini,Polyommatus,icarus,Polyommatus icarus,6,711.938111,194.8560758,149.9510313,-1.375642195,-2.844380376,Fabaceae Acanthaceae Lamiaceae Linderniaceae Verbenaceae Acanthaceae Oxalidaceae
68,B_5214,Lycaenidae,Polyommatinae,Polyommatini,Hemiargus,hanno,Hemiargus hanno,6,711.938111,194.8560758,149.9510313,-1.375642195,-2.844380376,Fabaceae Acanthaceae Lamiaceae Linderniaceae Verbenaceae Acanthaceae Oxalidaceae
