Phy_ID,sp_ID,Family,Subfamily,Tribe,Genus valid_imaged,Species valid_imaged,Scientific name valid_imaged
67,B_5839,Lycaenidae,Polyommatinae,Polyommatini,Polyommatus,icarus,Polyommatus icarus
68,B_5214,Lycaenidae,Polyommatinae,Polyommatini,Hemiargus,hanno,Hemiargus hanno
69,B_5444,Lycaenidae,Polyommatinae,Polyommatini,Lepidochrysops,patricia,Lepidochrysops patricia
70,B_4865,Lycaenidae,Polyommatinae,Niphandini,Niphanda,fusca,Niphanda fusca
71,B_4705,Lycaenidae,Polyommatinae,Lycaenesthini,Anthene,emolus,Anthene emolus
72,B_5080,Lycaenidae,Polyommatinae,Polyommatini,Cupidopsis,cissus,Cupidopsis cissus
73,B_9447,Lycaenidae,Theclinae,Oxylidini,Oxylides,faunus,Oxylides faunus
74,B_8927,Lycaenidae,Theclinae,Hypolycaenini,Hemiolaus,caeculus,Hemiolaus caeculus
75,B_9462,Lycaenidae,Theclinae,Remelanini,Remelana,jangala,Remelana jangala
76,B_8977,Lycaenidae,Theclinae,Hypolycaenini,Hypolycaena,phorbas,Hypolycaena phorbas
77,B_7565,Lycaenidae,Theclinae,Cheritrini,Drupadia,ravindra,Drupadia ravindra
78,B_8918,Lycaenidae,Theclinae,Horagini,Horaga,onyx,Horaga onyx
79,B_9255,Lycaenidae,Theclinae,Loxurini,Loxura,atymnus,Loxura atymnus
80,B_6943,Lycaenidae,Theclinae,Amblypodiini,Iraota,timoleon,Iraota timoleon
81,B_9150,Lycaenidae,Theclinae,Iolaini,Iolaus,sidus,Iolaus sidus
82,B_6937,Lycaenidae,Theclinae,Amblypodiini,Amblypodia,narada,Amblypodia narada
83,B_7553,Lycaenidae,Theclinae,Cheritrini,Dapidodigma,hymen,Dapidodigma hymen
84,B_9686,Lycaenidae,Theclinae,Zesiusini,Zesius,chrysomallus,Zesius chrysomallus
85,B_7542,Lycaenidae,Theclinae,Catapaecilmatini,Catapaecilma,major,Catapaecilma major
86,B_7619,Lycaenidae,Theclinae,Deudorigini,Deudorix,epijarbas,Deudorix epijarbas
87,B_9246,Lycaenidae,Theclinae,Loxurini,Drina,cowani,Drina cowani
88,B_8180,Lycaenidae,Theclinae,Eumaeini,Eumaeus,atala,Eumaeus atala
89,B_5444,Lycaenidae,Polyommatinae,Polyommatini,Lepidochrysops,patricia,Lepidochrysops patricia
90,B_9664,Lycaenidae,Theclinae,Tomarini,Tomares,ballus,Tomares ballus
91,B_9473,Lycaenidae,Theclinae,Theclini,Artopoetes,pryeri,Artopoetes pryeri
92,B_7518,Lycaenidae,Theclinae,Arhopalini,Semanga,superba,Semanga superba
93,B_7516,Lycaenidae,Theclinae,Arhopalini,Neomyrina,nivea,Neomyrina nivea
94,B_7418,Lycaenidae,Theclinae,Arhopalini,Arhopala,micale,Arhopala micale
95,B_9431,Lycaenidae,Theclinae,Ogyrini,Ogyris,amaryllis,Ogyris amaryllis
96,B_9343,Lycaenidae,Theclinae,Luciini,Lucia,limbaria,Lucia limbaria
97,B_4662,Lycaenidae,Theclinae,Candalidini,Candalides,geminus,Candalides geminus
98,B_9679,Lycaenidae,Theclinae,Zesiusini,Jalmenus,evagoras,Jalmenus evagoras
99,B_9685,Lycaenidae,Theclinae,Zesiusini,Pseudalmenus,chlorinda,Pseudalmenus chlorinda
100,B_4412,Lycaenidae,Lycaeninae,0,Lycaena,helloides,Lycaena helloides
101,B_4642,Lycaenidae,Miletinae,Spalgini,Spalgis,epeus,Spalgis epeus
102,B_4648,Lycaenidae,Miletinae,Tarakini,Taraka,hamada,Taraka hamada
103,B_4596,Lycaenidae,Miletinae,Miletini,Allotinus,unicolor,Allotinus unicolor
104,B_4474,Lycaenidae,Miletinae,Lachnocnemini,Lachnocnema,durbani,Lachnocnema durbani
105,B_4558,Lycaenidae,Liphyrinae,0,Liphyra,brassolis,Liphyra brassolis
106,B_6825,Lycaenidae,Lipteninae,Pentilini,Pentila,pauli,Pentila pauli
107,B_6534,Lycaenidae,Lipteninae,Liptenini,Liptena,rochei,Liptena rochei
108,B_6423,Lycaenidae,Lipteninae,Liptenini,Hewitsonia,boisduvalii,Hewitsonia boisduvalii
109,B_6905,Lycaenidae,Poritiinae,Poritiini,Poritia,erycinoides,Poritia erycinoides
110,B_7152,Lycaenidae,Aphnaeinae,Aphnaeini,Cigaritis,lohita,Cigaritis lohita
111,B_4341,Lycaenidae,Curetinae,0,Curetis,tagalica,Curetis tagalica
112,B_18829,Riodinidae,Riodininae,Riodinini,Baeotis,zonata,Baeotis zonata
113,B_19068,Riodinidae,Riodininae,Riodinini,Riodina,lysippus,Riodina lysippus
114,B_18242,Riodinidae,Riodininae,Helicopini,Sarota,gamelia,Sarota gamelia
115,B_18228,Riodinidae,Riodininae,Helicopini,Helicopis,cupido,Helicopis cupido
116,B_19143,Riodinidae,Riodininae,Symmachiini,Mesene,phareus,Mesene phareus
117,B_19262,Riodinidae,Riodininae,Emesidini,Apodemia,hypoglauca,Apodemia hypoglauca
118,B_18769,Riodinidae,Riodininae,Nymphidiini,Theope,virgilius,Theope virgilius
119,B_18607,Riodinidae,Riodininae,Nymphidiini,Nymphidium,onaeum,Nymphidium onaeum
120,B_19090,Riodinidae,Riodininae,Stalachtini,Stalachtis,euterpe,Stalachtis euterpe
121,B_19331,Riodinidae,Riodininae,Calydnini,Calydna,nicolayi,Calydna nicolayi
122,,Riodinidae,Riodininae,Dianesiini,Dianesia,carteri,Dianesia carteri
123,B_18443,Riodinidae,Riodininae,Mesosemiini,Semomesia,capanea,Semomesia capanea
