ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs
Apallaga opalinus	1	NA	NA	NA	NA	NA	NA	99
Apatura metis	1	NA	NA	NA	NA	NA	NA	99
Apaturina erminia	1	NA	NA	NA	NA	NA	NA	99
Apaturopsis cleochares	1	NA	NA	NA	NA	NA	NA	99
Aphantopus hyperantus	2	187.64298	287.314349030303	117.096181261083	2	-0.851192310089693	0.02	99
Aphnaeus orcas	9	198.076054666667	232.479708263749	31.1838586727962	11	-1.10325197269748	0.11	99
Aphrissa boisduvalii	1	NA	NA	NA	NA	NA	NA	99
Aphrissa statira	3	240.595148	251.877582333333	46.5247239172474	39	-0.242504057700615	0.39	99
Aphysoneura pigmentaria	1	NA	NA	NA	NA	NA	NA	99
Apodemia chisosensis	1	NA	NA	NA	NA	NA	NA	99
Apodemia duryi	1	NA	NA	NA	NA	NA	NA	99
Apodemia hepburni	1	NA	NA	NA	NA	NA	NA	99
Apodemia mormo	1	NA	NA	NA	NA	NA	NA	99
Apodemia murphyi	1	NA	NA	NA	NA	NA	NA	99
Apodemia palmerii	1	NA	NA	NA	NA	NA	NA	99
Aponarope sutor	1	NA	NA	NA	NA	NA	NA	99
Aporia agathon	1	NA	NA	NA	NA	NA	NA	99
Aporia crataegi	1	NA	NA	NA	NA	NA	NA	99
Apostictopterus fuliginosus	1	NA	NA	NA	NA	NA	NA	99
Appias lasti	3	211.242254666667	253.170433484849	56.966249116021	12	-0.736017896013977	0.12	99
Appias libythea	3	80.5200233333333	250.532288447811	44.5367589291702	1	-3.81734704550145	0.01	99
Appias paulina	2	237.157932	270.13475079798	90.9414178564979	13	-0.36261606180383	0.13	99
Apyrrothrix araxes	1	NA	NA	NA	NA	NA	NA	99
Araotes lapithis	1	NA	NA	NA	NA	NA	NA	99
Araragi enthea	2	195.75903	264.635409373737	83.8244424404232	6	-0.821674172455011	0.06	99
Araschnia levana	1	NA	NA	NA	NA	NA	NA	99
Arawacus aetolus	2	247.46944	256.783987242424	61.9733493872311	56.5	-0.150299238858686	0.565	99
Arcas imperialis	3	260.876883666667	252.560164188552	49.2295261379214	85	0.168937630129008	0.85	99
Archaeoprepona demophon	5	232.513146	241.165199450505	37.894921964715	44	-0.228316961796655	0.44	99
Archaeoprepona meander	1	NA	NA	NA	NA	NA	NA	99
Archon apollinus	1	NA	NA	NA	NA	NA	NA	99
Archonias brassolis	2	247.469413	270.337842131313	101.64337555139	51	-0.224986911417075	0.51	99
Arethusana arethusa	1	NA	NA	NA	NA	NA	NA	99
Argon lota	1	NA	NA	NA	NA	NA	NA	99
Argynnina cyrila	1	NA	NA	NA	NA	NA	NA	99
Argynnis aglaja	2	247.468926	276.753385575758	97.8377894012497	30	-0.299316447713847	0.3	99
Argynnis anadyomene	1	NA	NA	NA	NA	NA	NA	99
Argynnis hyperbius	1	NA	NA	NA	NA	NA	NA	99
Argynnis laodice	2	231.572306	263.271675333333	71.5933815867213	14	-0.442769549793311	0.14	99
Argynnis nerippe	1	NA	NA	NA	NA	NA	NA	99
Argynnis paphia	2	231.572306	263.271675333333	71.5933815867213	14	-0.442769549793311	0.14	99
Argynnis sagana	1	NA	NA	NA	NA	NA	NA	99
Argyraspodes argyraspis	0	NA	NA	NA	NA	NA	NA	99
Argyrophorus argenteus	1	NA	NA	NA	NA	NA	NA	99
Arhopala bazalus	1	NA	NA	NA	NA	NA	NA	99
Arhopala muta	1	NA	NA	NA	NA	NA	NA	99
Arhopala thamyras	1	NA	NA	NA	NA	NA	NA	99
Ariadne ariadne	1	NA	NA	NA	NA	NA	NA	99
Aricia agestis	4	223.7351815	241.142850333333	36.3962583335187	22	-0.478281824296812	0.22	99
Arita arita	1	NA	NA	NA	NA	NA	NA	99
Aroma aroma	1	NA	NA	NA	NA	NA	NA	99
Arotis derasa	1	NA	NA	NA	NA	NA	NA	99
Arrhenes dschilus	1	NA	NA	NA	NA	NA	NA	99
Arrhenes marnas	1	NA	NA	NA	NA	NA	NA	99
Arteurotia tractipennis	1	NA	NA	NA	NA	NA	NA	99
Artipe eryx	2	247.469313	278.005667050505	105.618684413002	45	-0.289118863960645	0.45	99
Artitropa comus	1	NA	NA	NA	NA	NA	NA	99
Artitropa erinnys	1	NA	NA	NA	NA	NA	NA	99
Artopoetes pryeri	1	NA	NA	NA	NA	NA	NA	99
Asbolis capucinus	1	NA	NA	NA	NA	NA	NA	99
Ascia monuste	7	116.423465714286	231.847853672439	33.9095382237118	1	-3.40389147138077	0.01	99
Aslauga marshalli	0	NA	NA	NA	NA	NA	NA	99
Aspitha aspitha	1	NA	NA	NA	NA	NA	NA	99
Asterocampa celtis	1	NA	NA	NA	NA	NA	NA	99
Asterope markii	1	NA	NA	NA	NA	NA	NA	99
Astictopterus jama	2	213.46856	273.218553979798	98.9559012023994	7	-0.603804252740707	0.07	99
Astraptes alector	1	NA	NA	NA	NA	NA	NA	99
Astraptes anaphus	1	NA	NA	NA	NA	NA	NA	99
Astraptes enotrus	1	NA	NA	NA	NA	NA	NA	99
Astraptes talus	3	184.583927333333	253.350604252525	48.8551948596383	2	-1.40756120442789	0.02	99
Atalopedes campestris	1	NA	NA	NA	NA	NA	NA	99
Atarnes sallei	1	NA	NA	NA	NA	NA	NA	99
Aterica rabena	1	NA	NA	NA	NA	NA	NA	99
Athyma perius	2	189.82314	280.772912989899	104.285248534253	3	-0.872125005868168	0.03	99
Atlantea perezi	1	NA	NA	NA	NA	NA	NA	99
Atlides halesus	2	162.945508	267.613677111111	81.0524981689692	1	-1.29136265353488	0.01	99
Atrophaneura alcinous	2	271.825482	265.481042737374	96.1308478108184	95	0.0659979539045768	0.95	99
Atrophaneura coon	2	271.825428	285.631791808081	118.883925766541	90	-0.116133141794065	0.9	99
Atrophaneura neptunus	2	271.824694	270.765557151515	90.4456873220808	87	0.0117101973553833	0.87	99
Atrophaneura semperi	1	NA	NA	NA	NA	NA	NA	99
Atrytone arogos	1	NA	NA	NA	NA	NA	NA	99
Atrytonopsis hianna	1	NA	NA	NA	NA	NA	NA	99
Aubergina alda	1	NA	NA	NA	NA	NA	NA	99
Augiades crinisus	1	NA	NA	NA	NA	NA	NA	99
Autochton cellus	1	NA	NA	NA	NA	NA	NA	99
Axiocerses harpax	2	247.46952	259.851143252525	73.2835362619897	64	-0.168955046168361	0.64	99
Azanus mirza	2	237.158162	267.62844949495	91.5939724451289	23	-0.332666950472132	0.23	99
Azanus natalensis	1	NA	NA	NA	NA	NA	NA	99
Azanus ubaldus	1	NA	NA	NA	NA	NA	NA	99
Badamia exclamationis	4	189.599384	250.283191340909	44.465123393416	6	-1.36475067895335	0.06	99
Baliochila barnesi	0	NA	NA	NA	NA	NA	NA	99
Baoris farri	1	NA	NA	NA	NA	NA	NA	99
Baoris oceia	1	NA	NA	NA	NA	NA	NA	99
Baracus vittatus	1	NA	NA	NA	NA	NA	NA	99
Baronia brevicornis	1	NA	NA	NA	NA	NA	NA	99
Batesia hypochlora	1	NA	NA	NA	NA	NA	NA	99
Battus belus	1	NA	NA	NA	NA	NA	NA	99
Battus polydamas	1	NA	NA	NA	NA	NA	NA	99
Bebearia sophus	2	224.682142	257.366552656566	60.0924663025109	9	-0.543901967544973	0.09	99
Belenois calypso	2	237.157893	278.044312484848	96.5874002221735	12	-0.423310073475424	0.12	99
Belenois creona	3	133.527344333333	251.489586855219	44.4811965039284	1	-2.65195749650007	0.01	99
Belenois java	1	NA	NA	NA	NA	NA	NA	99
Belenois subeida	1	NA	NA	NA	NA	NA	NA	99
Berberia abdelkader	1	NA	NA	NA	NA	NA	NA	99
Bhagadatta austenia	2	271.825315	276.095916626263	107.847129331004	92	-0.0395986583301191	0.92	99
Bhutanitis mansfieldi	1	NA	NA	NA	NA	NA	NA	99
Bhutanitis thaidina	1	NA	NA	NA	NA	NA	NA	99
Bia actorion	1	NA	NA	NA	NA	NA	NA	99
Bibasis sena	3	240.594573	258.700867430976	48.7326193898932	26	-0.371543632533152	0.26	99
Biblis hyperia	2	231.571649	282.069893191919	112.544082875275	16	-0.448697460602021	0.16	99
Bicyclus anynana	1	NA	NA	NA	NA	NA	NA	99
Bindahara phocides	3	236.87122	258.069829757576	54.6967906121087	21	-0.387565879466479	0.21	99
Boloria pales	3	224.812015333333	257.19859289899	42.0465449570972	11	-0.770255382426848	0.11	99
Borbo borbonica	1	NA	NA	NA	NA	NA	NA	99
Borbo cinnara	1	NA	NA	NA	NA	NA	NA	99
Brassolis sophorae	3	143.153653333333	246.597443787879	40.4473938469261	1	-2.55748963322657	0.01	99
Brenthis daphne	2	231.572306	263.271675333333	71.5933815867213	14	-0.442769549793311	0.14	99
Brenthis ino	5	204.152538	246.203623793939	34.4528810007449	6	-1.22053902525685	0.06	99
Brephidium exilis	3	197.0505	254.685023380471	49.3698755569835	5	-1.16740264645692	0.05	99
Brevioleria arzalia	1	NA	NA	NA	NA	NA	NA	99
Brintesia circe	2	187.64298	287.314349030303	117.096181261083	2	-0.851192310089693	0.02	99
Bungalotis astylos	1	NA	NA	NA	NA	NA	NA	99
Bungalotis erythus	1	NA	NA	NA	NA	NA	NA	99
Burara harisa	3	232.82781	257.533161484849	58.8921215393495	25	-0.419501808375867	0.25	99
Burara oedipodea	2	237.157608	275.108774282828	97.9571684452121	15	-0.387426125981321	0.15	99
Burmaozephyrus kothayaungi	1	NA	NA	NA	NA	NA	NA	99
Butleria flavomaculatus	1	NA	NA	NA	NA	NA	NA	99
Byblia anvatara	2	247.469241	257.64885759596	63.3536216172068	40	-0.160679316132337	0.4	99
Byblia ilithyia	1	NA	NA	NA	NA	NA	NA	99
Cabares potrillo	1	NA	NA	NA	NA	NA	NA	99
Cacyreus lingeus	2	247.46905	280.079528242424	104.506072991338	36	-0.312043858399761	0.36	99
Caenides dacela	1	NA	NA	NA	NA	NA	NA	99
Calephelis nemesis	2	263.36208	260.585426191919	74.2938875595116	59	0.0373739199723071	0.59	99
Calephelis perditalis	1	NA	NA	NA	NA	NA	NA	99
Calephelis virginiensis	1	NA	NA	NA	NA	NA	NA	99
Caleta caleta	1	NA	NA	NA	NA	NA	NA	99
Caligo eurilochus	5	122.607548	242.096290107071	32.2175353872795	1	-3.70881076627135	0.01	99
Calinaga buddha	1	NA	NA	NA	NA	NA	NA	99
Calleagris jamesoni	1	NA	NA	NA	NA	NA	NA	99
Callerebia annada	1	NA	NA	NA	NA	NA	NA	99
Callicore astarte	1	NA	NA	NA	NA	NA	NA	99
Callithomia lenea	1	NA	NA	NA	NA	NA	NA	99
Callophrys rubi	9	184.348656666667	229.092578907969	28.3437478213599	5	-1.57861700306206	0.05	99
Calpodes ethlius	4	89.4187825	244.750808757576	34.2696217374428	1	-4.53264490187999	0.01	99
Caltoris cormasa	1	NA	NA	NA	NA	NA	NA	99
Calycopis cecrops	5	208.0243534	238.855324086869	33.8767399736304	10	-0.91009260958603	0.1	99
Calydna sturnula	1	NA	NA	NA	NA	NA	NA	99
Candalides xanthospilos	1	NA	NA	NA	NA	NA	NA	99
Caprona pillaana	1	NA	NA	NA	NA	NA	NA	99
Capronnieria galesus	1	NA	NA	NA	NA	NA	NA	99
Capys alpheus	1	NA	NA	NA	NA	NA	NA	99
Carcharodus alceae	2	237.158112	267.097570090909	82.1622774733421	25	-0.364394208773279	0.25	99
Carcharodus lavatherae	1	NA	NA	NA	NA	NA	NA	99
Caria ino	2	271.51786	292.099558838384	125.767508266609	81	-0.163648776397427	0.81	99
Caria mantinea	1	NA	NA	NA	NA	NA	NA	99
Carrhenes canescens	1	NA	NA	NA	NA	NA	NA	99
Carterocephalus palaemon	1	NA	NA	NA	NA	NA	NA	99
