Lep_family,Lep_accepted_name,PD,Num.families,mpd.obs,mpd.obs.z,mntd.obs,mntd.obs.z,host.module
Hesperiidae,Chrysoplectrum perniciosus,325.050502,1,192,-0.773400109,192,-0.886740072,NA
Hesperiidae,Chrysoplectrum pervivax,325.050502,1,192,-0.773400109,192,-0.886740072,NA
Hesperiidae,Cobalus calvina,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Codatractus alcaeus,325.050502,1,192,-0.773400109,192,-0.886740072,7
Hesperiidae,Codatractus arizonensis,325.050502,1,192,-0.773400109,192,-0.886740072,7
Hesperiidae,Codatractus valeriana,325.050502,1,192,-0.773400109,192,-0.886740072,NA
Hesperiidae,Coeliades forestan,993.570528,7,233.138138,-0.811048929,217.4947153,-0.428770034,6
Hesperiidae,Coeliades ramanatek,443.630134,2,237.158592,-0.361834223,237.158592,-0.363620756,11
Hesperiidae,Cogia calchas,325.050502,1,192,-0.773400109,192,-0.886740072,7
Hesperiidae,Cogia hippalus,325.050502,1,192,-0.773400109,192,-0.886740072,7
Hesperiidae,Conga chydaea,325.050952,1,54.2995,-2.85844189,54.2995,-4.234056668,8
Hesperiidae,Copaeodes aurantiaca,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Corticea corticea,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Creonpyge creon,325.050262,1,120,-2.026462953,120,-1.870853135,2
Hesperiidae,Croitana croites,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Croniades pieria,325.05054,1,142.4068,-1.222403248,142.4068,-1.594470017,1
Hesperiidae,Cupitha purreea,448.784415,2,247.469163,-0.180250929,247.469163,-0.245671323,9
Hesperiidae,Cycloglypha thrasibulus,460.962982,2,271.825172,-0.009280886,271.825172,-0.031173441,1
Hesperiidae,Cynea cynea,325.050732,1,95.4795,-2.000430702,95.4795,-1.639949991,8
Hesperiidae,Daimio tethys,558.688518,3,246.2641973,-0.349968233,221.0116293,-0.729197602,12
Hesperiidae,Darpa pteria,325.05054,1,142.4068,-1.222403248,142.4068,-1.594470017,1
Hesperiidae,Decinea decinea,325.050282,1,99.1432,-2.08219519,99.1432,-1.62615957,3
Hesperiidae,Dispar compacta,533.472742,3,215.3488133,-0.762278784,201.4958933,-1.175847685,8
Hesperiidae,Drephalys kidonoi,325.050662,1,92.1087,-1.884379727,92.1087,-2.345762275,1
